ticker,company,sector,sub_industry,cik,legal_name,gics_sector,gics_sub_industry,hq_state,market_cap_usd,shares_outstanding,scope1_tco2e,scope1_tco2e_fy,ghg_facility_count,ghg_facility_count_fy,cogs_usd,cogs_usd_fy,energy_cost_usd,energy_cost_usd_fy,revenue_usd,revenue_usd_fy,ebit_usd,ebit_usd_fy,ebitda_usd,ebitda_usd_fy,free_cash_flow_usd,free_cash_flow_usd_fy,capex_usd,capex_usd_fy,rnd_expense_usd,rnd_expense_usd_fy,sbti_target_validated,sbti_target_type,target_year,target_baseline_year,target_reduction_pct,target_scope_coverage,has_climate_oversight_committee,has_third_party_assurance,assurance_level,emissions_boundary_stated,has_clawback_policy,has_psu_plan,performance_period_years,independent_director_count,board_size,lead_independent_director,buybacks_usd,buybacks_usd_fy,dividends_paid_usd,dividends_paid_usd_fy
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,0000008670,Automatic Data Processing,Industrials,Human Resource & Employment Services,New Jersey,106569711616.0,412100000.0,,,,,9953400000.0,2023,,,18012200000.0,2023,4437600000.0,2023,4986900000.0,2023,,,,,844800000.0,2023,0.0,,,,,,,,,,1.0,1.0,3.0,10.0,12.0,0.0,1121400000.0,2023,1903600000.0,2023
ADSK,Autodesk,Information Technology,Application Software,0000769397,Autodesk,Information Technology,Application Software,California,44391600128.0,214000000.0,,,,,511000000.0,2023,,,5497000000.0,2023,1128000000.0,2023,1267000000.0,2023,1282000000.0,2023,31000000.0,2023,1373000000.0,2023,0.0,near-term,2031.0,2020.0,50.0,1 and 2,,,,1.0,1.0,1.0,3.0,,,1.0,795000000.0,2023,0.0,2023
AEE,Ameren,Utilities,Multi-Utilities,0001002910,Ameren,Utilities,Multi-Utilities,Missouri,29040859136.0,266300000.0,19790344.7,2023,15.0,2023,,,,,7500000000.0,2023,1558000000.0,2023,2990000000.0,2023,-1033000000.0,2023,3597000000.0,2023,,,0.0,,,,,,,,,,1.0,1.0,3.0,,,1.0,,,662000000.0,2023
AEP,American Electric Power,Utilities,Electric Utilities,0000004904,American Electric Power,Utilities,Electric Utilities,Ohio,67140530176.0,520206258.0,48971842.6,2023,26.0,2023,,,,,19456000000.0,2023,3556000000.0,2023,6483000000.0,2023,4857000000.0,2023,155000000.0,2023,,,0.0,,,,,,,,,,1.0,0.0,3.0,,,1.0,,,1752000000.0,2023
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,0000874761,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Virginia,10551757824.0,669693234.0,15564932.7,2023,11.0,2023,10164000000.0,2023,,,12668000000.0,2023,,,,,-4690000000.0,2023,7724000000.0,2023,,,0.0,,,,,,,,,,1.0,1.0,3.0,,,1.0,,,444000000.0,2023
AFL,Aflac,Financials,Life & Health Insurance,0000004977,Aflac,Financials,Life & Health Insurance,Georgia,57794854912.0,578479000.0,,,,,,,,,18701000000.0,2023,5262000000.0,2023,5301000000.0,2023,,,,,,,0.0,,,,,,,,,,1.0,1.0,3.0,,,1.0,2801000000.0,2023,966000000.0,2023
AIG,American International Group,Financials,Multi-line Insurance,0000005272,American International Group,Financials,Multi-line Insurance,New York,39389544448.0,688800000.0,,,,,,,,,27938000000.0,2023,2867000000.0,2023,6708000000.0,2023,6003000000.0,2023,240000000.0,2023,,,0.0,,,,,,,,,,1.0,1.0,3.0,,,1.0,2961000000.0,2023,997000000.0,2023
AIZ,Assurant,Financials,Multi-line Insurance,0001267238,Assurant,Financials,Multi-line Insurance,Georgia,13931991040.0,51955994.0,,,,,,,,,11131600000.0,2023,806800000.0,2023,1003200000.0,2023,935600000.0,2023,202500000.0,2023,,,0.0,,,,,,,1.0,,,1.0,1.0,3.0,,,1.0,193100000.0,2023,152300000.0,2023
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,0000354190,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Illinois,61603868672.0,216700000.0,,,,,,,,,10072000000.0,2023,1185000000.0,2023,1882000000.0,2023,,,,,,,0.0,,,,,,,,,,1.0,1.0,3.0,,,1.0,,,474000000.0,2023
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,0001086222,Akamai Technologies,Information Technology,Internet Services & Infrastructure,Massachusetts,15347496960.0,151232908.0,,,,,1511063000.0,2023,,,3811920000.0,2023,637338000.0,2023,1208114000.0,2023,890530000.0,2023,457909000.0,2023,406048000.0,2023,0.0,commitment,,,,,,,,1.0,1.0,0.0,1.0,,,0.0,654046000.0,2023,,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,0000915913,Albemarle Corporation,Materials,Specialty Chemicals,North Carolina,13867954176.0,117356000.0,229671.7,2023,3.0,2023,8431294000.0,2023,,,9617203000.0,2023,251881000.0,2023,681825000.0,2023,-827959000.0,2023,2154542000.0,2023,85725000.0,2023,0.0,,,,,,,,,,1.0,1.0,3.0,,,1.0,,,187188000.0,2023
ALGN,Align Technology,Health Care,Health Care Supplies,0001097149,Align Technology,Health Care,Health Care Supplies,Arizona,10714231808.0,75075000.0,,,,,1155397000.0,2023,,,3862260000.0,2023,643338000.0,2023,785739000.0,2023,608060000.0,2023,177716000.0,2023,346830000.0,2023,0.0,,,,,,,1.0,limited,,1.0,0.0,3.0,,,0.0,592360000.0,2023,,
ALL,Allstate,Financials,Property & Casualty Insurance,0000899051,Allstate,Financials,Property & Casualty Insurance,Illinois,64152592384.0,262000000.0,,,,,,,,,57094000000.0,2023,-348000000.0,2023,356000000.0,2023,3961000000.0,2023,267000000.0,2023,,,0.0,,,,,,,,,,1.0,1.0,3.0,,,1.0,335000000.0,2023,925000000.0,2023
ALLE,Allegion,Industrials,Building Products,0001579241,Allegion,Industrials,Building Products,Ireland,13040391168.0,87504673.0,,,,,2069300000.0,2023,,,3650800000.0,2023,708400000.0,2023,817400000.0,2023,516400000.0,2023,84200000.0,2023,101900000.0,2023,0.0,,,,,,,,,,1.0,1.0,1.0,7.0,8.0,0.0,59900000.0,2023,158700000.0,2023
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,0000006951,Applied Materials,Information Technology,Semiconductor Materials & Equipment,California,362269278208.0,833000000.0,,,,,14133000000.0,2023,,,26517000000.0,2023,7654000000.0,2023,8169000000.0,2023,7594000000.0,2023,1106000000.0,2023,3102000000.0,2023,0.0,near-term,2030.0,2019.0,50.0,1 and 2,,,,,1.0,1.0,3.0,,,1.0,2189000000.0,2023,975000000.0,2023
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,0001748790,Amcor,Materials,Paper & Plastic Packaging Products & Materials,United Kingdom,19566469120.0,1476000000.0,,,,,11969000000.0,2023,,,14694000000.0,2023,1508000000.0,2023,2094000000.0,2023,735000000.0,2023,526000000.0,2023,101000000.0,2023,0.0,near-term,,,,,,,,,1.0,1.0,3.0,,,0.0,432000000.0,2023,723000000.0,2023
AMD,Advanced Micro Devices,Information Technology,Semiconductors,0000002488,Advanced Micro Devices,Information Technology,Semiconductors,California,842569351168.0,1616000000.0,,,,,12220000000.0,2023,,,22680000000.0,2023,401000000.0,2023,,,1121000000.0,2023,546000000.0,2023,5872000000.0,2023,0.0,near-term,2020.0,2014.0,20.0,1 and 2,,,,1.0,1.0,1.0,3.0,,,1.0,985000000.0,2023,,
AME,Ametek,Industrials,Electrical Components & Equipment,0001037868,Ametek,Industrials,Electrical Components & Equipment,Pennsylvania,55451418624.0,230900000.0,,,,,4212485000.0,2023,,,6596950000.0,2023,1707459000.0,2023,2045095000.0,2023,1599047000.0,2023,136249000.0,2023,220800000.0,2023,0.0,,,,,,,,,,1.0,1.0,3.0,7.0,8.0,1.0,7772000.0,2023,230329000.0,2023
AMGN,Amgen,Health Care,Biotechnology,0000318154,Amgen,Health Care,Biotechnology,California,204007489536.0,535400000.0,61780.4,2023,1.0,2023,8451000000.0,2023,,,28190000000.0,2023,7897000000.0,2023,11968000000.0,2023,7359000000.0,2023,1112000000.0,2023,,,0.0,near-term,2030.0,2019.0,55.0,1 and 2,,,,,1.0,0.0,3.0,11.0,12.0,1.0,0.0,2023,4556000000.0,2023
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,0000820027,Ameriprise Financial,Financials,Asset Management & Custody Banks,Minnesota,49255481344.0,107800000.0,,,,,,,,,16096000000.0,2023,3234000000.0,2023,3385000000.0,2023,4501000000.0,2023,184000000.0,2023,,,0.0,,,,,,,,,,1.0,1.0,3.0,7.0,8.0,0.0,2127000000.0,2023,550000000.0,2023
AMT,American Tower,Real Estate,Telecom Tower REITs,0001053507,American Tower,Real Estate,Telecom Tower REITs,Massachusetts,82871001088.0,466296000.0,,,,,,,,,10012200000.0,2023,3125500000.0,2023,6054000000.0,2023,2924300000.0,2023,1798100000.0,2023,,,0.0,near-term,2035.0,2019.0,40.0,"1, 2 and 3",,,,,1.0,1.0,1.0,10.0,11.0,0.0,0.0,2023,3006700000.0,2023
AMZN,Amazon,Consumer Discretionary,Broadline Retail,0001018724,Amazon,Consumer Discretionary,Broadline Retail,Washington,2769709432832.0,10383000000.0,,,,,304739000000.0,2023,,,574785000000.0,2023,36852000000.0,2023,85515000000.0,2023,32217000000.0,2023,52729000000.0,2023,,,0.0,commitment,,,,,,,,,1.0,0.0,,,,1.0,0.0,2023,,
ANET,Arista Networks,Information Technology,Communications Equipment,0001596532,Arista Networks,Information Technology,Communications Equipment,California,251727839232.0,1248982000.0,,,,,2229900000.0,2023,,,5860200000.0,2023,2257300000.0,2023,2327900000.0,2023,1999600000.0,2023,34400000.0,2023,854900000.0,2023,1.0,near-term,2030.0,2023.0,42.0,1 and 2,1.0,1.0,,,1.0,1.0,,,,1.0,112300000.0,2023,,
AON,Aon plc,Financials,Insurance Brokers,0000315293,Aon plc,Financials,Insurance Brokers,United Kingdom,64208248832.0,205000000.0,,,,,,,,,13376000000.0,2023,3785000000.0,2023,,,3183000000.0,2023,252000000.0,2023,,,0.0,near-term,2032.0,,,,,,,,1.0,1.0,3.0,12.0,13.0,0.0,,,489000000.0,2023
AOS,A. O. Smith,Industrials,Building Products,0000091142,A. O. Smith,Industrials,Building Products,Wisconsin,7799793152.0,151015574.0,,,,,2368000000.0,2023,,,3852800000.0,2023,745500000.0,2023,823800000.0,2023,597700000.0,2023,72600000.0,2023,97500000.0,2023,0.0,,,,,,,,,,1.0,1.0,3.0,8.0,10.0,0.0,306500000.0,2023,183500000.0,2023
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,0001841666,APA Corporation,Energy,Oil & Gas Exploration & Production,Texas,15671223296.0,303575901.0,304822.8,2023,14.0,2023,,,,,,,3696000000.0,2023,5236000000.0,2023,,,,,,,0.0,,,,,,,,,,1.0,0.0,3.0,,,0.0,,,308000000.0,2023
APD,Air Products,Materials,Industrial Gases,0000002969,Air Products,Materials,Industrial Gases,Pennsylvania,64897245184.0,222199845.0,,,,,8833000000.0,2023,,,12600000000.0,2023,2494600000.0,2023,3852900000.0,2023,-1420700000.0,2023,4626400000.0,2023,105600000.0,2023,0.0,,,,,,,,,,1.0,0.0,1.0,,,0.0,,,1496600000.0,2023
APH,Amphenol,Information Technology,Electronic Components,0000820313,Amphenol,Information Technology,Electronic Components,Connecticut,206943928320.0,1197800000.0,,,,,8470600000.0,2023,,,12554700000.0,2023,2559600000.0,2023,2966000000.0,2023,2155900000.0,2023,372800000.0,2023,342200000.0,2023,0.0,,,,,,1.0,,,,1.0,0.0,,,,1.0,585100000.0,2023,500600000.0,2023
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,0001858681,Apollo Global Management,Financials,Asset Management & Custody Banks,New York,76168257536.0,567762932.0,,,,,,,,,32644000000.0,2023,5586000000.0,2023,6389000000.0,2023,,,,,,,0.0,,,,,,,,,,1.0,0.0,5.0,,,1.0,561000000.0,2023,1012000000.0,2023
APP,AppLovin,Communication Services,Advertising,0001751008,AppLovin,Communication Services,Advertising,California,108830965760.0,339886712.0,,,,,356613000.0,2023,,,1841762000.0,2023,772411000.0,2023,1261419000.0,2023,1057264000.0,2023,4246000.0,2023,333781000.0,2023,0.0,,,,,,,,,,1.0,1.0,,6.0,9.0,1.0,1153593000.0,2023,,
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,0001521332,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,Switzerland,9455622144.0,279033365.0,,,,,16612000000.0,2023,,,20051000000.0,2023,1559000000.0,2023,2471000000.0,2023,990000000.0,2023,906000000.0,2023,1289000000.0,2023,0.0,near-term,2030.0,,,,,,,,1.0,1.0,3.0,10.0,11.0,1.0,398000000.0,2023,,
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,0001035443,Alexandria Real Estate Equities,Real Estate,Office REITs,California,8800952320.0,171910599.0,,,,,,,,,2885699000.0,2023,,,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,3.0,7.0,8.0,1.0,0.0,2023,847483000.0,2023
ARES,Ares Management,Financials,Asset Management & Custody Banks,0001176948,Ares Management,Financials,Asset Management & Custody Banks,California,43674984448.0,307585576.0,1454174.1,2023,1.0,2023,,,,,3631884000.0,2023,1333063000.0,2023,,,,,,,,,0.0,,,,,,,,,,1.0,0.0,,,,0.0,,,,
ATO,Atmos Energy,Utilities,Gas Utilities,0000731802,Atmos Energy,Utilities,Gas Utilities,Texas,27577243648.0,148492783.0,737121.0,2023,12.0,2023,1452173000.0,2023,,,4275357000.0,2023,1067147000.0,2023,1671474000.0,2023,653770000.0,2023,2805973000.0,2023,,,0.0,,,,,,,,,,1.0,1.0,3.0,11.0,12.0,1.0,,,430345000.0,2023
AVGO,Broadcom,Information Technology,Semiconductors,0001730168,Broadcom,Information Technology,Semiconductors,California,1728006324224.0,4139000000.0,34457.1,2023,1.0,2023,11129000000.0,2023,,,35819000000.0,2023,16207000000.0,2023,,,17633000000.0,2023,452000000.0,2023,5253000000.0,2023,0.0,commitment,,,,,,,,,1.0,1.0,3.0,7.0,8.0,1.0,5824000000.0,2023,7645000000.0,2023
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,0000008818,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,Ohio,12836996096.0,80495585.0,,,,,6086800000.0,2023,,,8364300000.0,2023,694700000.0,2023,993100000.0,2023,560700000.0,2023,265300000.0,2023,135800000.0,2023,0.0,near-term,2030.0,2015.0,70.0,1 and 2,,,,,1.0,0.0,3.0,8.0,10.0,1.0,137500000.0,2023,256700000.0,2023
AWK,American Water Works,Utilities,Water Utilities,0001410636,American Water Works,Utilities,Water Utilities,New Jersey,27362996224.0,193000000.0,,,,,,,,,4217000000.0,2023,1504000000.0,2023,2208000000.0,2023,-701000000.0,2023,2575000000.0,2023,,,0.0,,,,,,,,,,1.0,1.0,3.0,,,1.0,,,532000000.0,2023
AXON,Axon Enterprise,Industrials,Aerospace & Defense,0001069183,Axon Enterprise,Industrials,Aerospace & Defense,Arizona,38940344320.0,75301424.0,,,,,605246000.0,2023,,,1560699000.0,2023,156850000.0,2023,176165000.0,2023,129628000.0,2023,59635000.0,2023,303719000.0,2023,0.0,,,,,,,,,,1.0,0.0,,,,1.0,,,,
AXP,American Express,Financials,Consumer Finance,0000004962,American Express,Financials,Consumer Finance,New York,219266351104.0,723000000.0,,,,,,,,,37218000000.0,2023,10513000000.0,2023,12164000000.0,2023,16996000000.0,2023,1563000000.0,2023,,,1.0,near-term,2033.0,2019.0,60.0,1 and 2,,,,,1.0,1.0,3.0,,,1.0,3650000000.0,2023,1780000000.0,2023
AZO,AutoZone,Consumer Discretionary,Automotive Retail,0000866787,AutoZone,Consumer Discretionary,Automotive Retail,Tennessee,,19103000.0,,,,,8386787000.0,2023,,,17457209000.0,2023,3473986000.0,2023,3971563000.0,2023,2144131000.0,2023,796657000.0,2023,,,0.0,,,,,,,,,,1.0,1.0,4.0,,,1.0,3699552000.0,2023,,
BA,Boeing,Industrials,Aerospace & Defense,0000012927,Boeing,Industrials,Aerospace & Defense,Virginia,166333366272.0,1012261159.0,151144.8,2023,4.0,2023,70070000000.0,2023,,,77794000000.0,2023,-773000000.0,2023,1088000000.0,2023,4433000000.0,2023,1527000000.0,2023,3377000000.0,2023,0.0,,,,,,,,,,1.0,1.0,3.0,,,0.0,,,,
BAC,Bank of America,Financials,Diversified Banks,0000070858,Bank of America,Financials,Diversified Banks,North Carolina,438375383040.0,7895457665.0,,,,,,,,,102769000000.0,2023,32530000000.0,2023,34587000000.0,2023,,,,,,,0.0,,,,,,,,,,1.0,0.0,3.0,,,1.0,4576000000.0,2023,,
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",0000009389,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",Colorado,15855731712.0,317022000.0,,,,,,,,,12062000000.0,2023,1273000000.0,2023,1878000000.0,2023,818000000.0,2023,1045000000.0,2023,55000000.0,2023,0.0,near-term,2030.0,,,,,,,,1.0,1.0,3.0,8.0,9.0,1.0,3000000.0,2023,252000000.0,2023
BAX,Baxter International,Health Care,Health Care Equipment,0000010456,Baxter International,Health Care,Health Care Equipment,Illinois,12304504832.0,508000000.0,43203.8,2023,1.0,2023,6210000000.0,2023,,,10360000000.0,2023,707000000.0,2023,1691000000.0,2023,1294000000.0,2023,432000000.0,2023,518000000.0,2023,0.0,,,,,,,,,,1.0,1.0,3.0,8.0,9.0,1.0,0.0,2023,586000000.0,2023
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,0000764478,Best Buy,Consumer Discretionary,Computer & Electronics Retail,Minnesota,19043274752.0,215400000.0,,,,,33849000000.0,2023,,,43452000000.0,2023,1574000000.0,2023,2497000000.0,2023,675000000.0,2023,795000000.0,2023,,,0.0,near-term,2030.0,,,,,,,,1.0,0.0,3.0,12.0,13.0,1.0,340000000.0,2023,801000000.0,2023
BDX,Becton Dickinson,Health Care,Health Care Equipment,0000010795,Becton Dickinson,Health Care,Health Care Equipment,New Jersey,48443998208.0,288392000.0,,,,,11202000000.0,2023,,,19372000000.0,2023,2111000000.0,2023,4399000000.0,2023,2116000000.0,2023,874000000.0,2023,1237000000.0,2023,0.0,,,,,,,,,,1.0,1.0,3.0,,,0.0,0.0,2023,1114000000.0,2023
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,0000038777,Franklin Resources,Financials,Asset Management & Custody Banks,California,17096787968.0,495937891.0,,,,,,,,,7849400000.0,2023,1102300000.0,2023,1206600000.0,2023,940400000.0,2023,148800000.0,2023,,,0.0,,,,,,,,,,1.0,1.0,3.0,8.0,11.0,1.0,256300000.0,2023,607300000.0,2023
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,0000014693,Brown–Forman,Consumer Staples,Distillers & Vintners,Kentucky,12031420416.0,472600000.0,90072.8,2023,2.0,2023,1652000000.0,2023,,,4178000000.0,2023,1414000000.0,2023,1501000000.0,2023,419000000.0,2023,228000000.0,2023,,,0.0,,,,,,,,,,1.0,1.0,3.0,6.0,11.0,1.0,400000000.0,2023,404000000.0,2023
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,0001996862,Bunge Global,Consumer Staples,Agricultural Products & Services,Missouri,23517302784.0,150787917.0,,,,,54695000000.0,2023,,,59540000000.0,2023,3051000000.0,2023,3502000000.0,2023,2186000000.0,2023,1122000000.0,2023,35000000.0,2023,0.0,,,,,,1.0,1.0,reasonable,1.0,1.0,1.0,3.0,,,1.0,600000000.0,2023,383000000.0,2023
BIIB,Biogen,Health Care,Biotechnology,0000875045,Biogen,Health Care,Biotechnology,Massachusetts,32084781056.0,144900000.0,28268.2,2023,1.0,2023,2533400000.0,2023,,,9835600000.0,2023,1296800000.0,2023,1791600000.0,2023,1270200000.0,2023,277000000.0,2023,,,0.0,commitment,,,,,,,,,1.0,1.0,3.0,9.0,10.0,0.0,0.0,2023,,
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001075531,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Connecticut,130680094720.0,36530000.0,,,,,,,,,21365000000.0,2023,5835000000.0,2023,6339000000.0,2023,6999000000.0,2023,345000000.0,2023,,,1.0,near-term,2030.0,2019.0,95.0,1 and 2,,,,,1.0,1.0,3.0,10.0,11.0,1.0,10377000000.0,2023,0.0,2023
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,0001701605,Baker Hughes,Energy,Oil & Gas Equipment & Services,Texas,58627330048.0,992674071.0,,,,,,,,,25506000000.0,2023,2317000000.0,2023,3404000000.0,2023,1838000000.0,2023,1224000000.0,2023,651000000.0,2023,0.0,,,,,,,,,,1.0,1.0,3.0,,,1.0,538000000.0,2023,786000000.0,2023
BLDR,Builders FirstSource,Industrials,Building Products,0001316835,Builders FirstSource,Industrials,Building Products,Texas,6495598080.0,121857000.0,,,,,11084996000.0,2023,,,17097330000.0,2023,2176319000.0,2023,2734594000.0,2023,1830537000.0,2023,476335000.0,2023,,,0.0,,,,,,,,,,1.0,1.0,3.0,11.0,13.0,0.0,1811517000.0,2023,,
BLK,BlackRock,Financials,Asset Management & Custody Banks,0002012383,BlackRock,Financials,Asset Management & Custody Banks,New York,175417425920.0,148500074.0,187749.9,2023,1.0,2023,,,,,17859000000.0,2023,6275000000.0,2023,6702000000.0,2023,3821000000.0,2023,344000000.0,2023,,,0.0,,,,,,,,,,1.0,0.0,3.0,,,1.0,1884000000.0,2023,3035000000.0,2023
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,0000014272,Bristol Myers Squibb,Health Care,Pharmaceuticals,New York,129998356480.0,2078000000.0,95102.7,2023,2.0,2023,10693000000.0,2023,,,45006000000.0,2023,8440000000.0,2023,18200000000.0,2023,12651000000.0,2023,1209000000.0,2023,9299000000.0,2023,1.0,near-term,2033.0,2022.0,54.6,1 and 2,,1.0,reasonable,,1.0,1.0,3.0,,,1.0,5155000000.0,2023,4744000000.0,2023
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,0001390777,BNY Mellon,Financials,Asset Management & Custody Banks,New York,110365483008.0,759344092.0,,,,,,,,,17697000000.0,2023,,,,,4692000000.0,2023,1220000000.0,2023,,,0.0,,,,,,,,,,1.0,1.0,3.0,,,1.0,2604000000.0,2023,1262000000.0,2023
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,0001383312,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,New York,19126018048.0,118100000.0,,,,,4275500000.0,2023,,,6060900000.0,2023,936400000.0,2023,1020800000.0,2023,784900000.0,2023,38400000.0,2023,,,1.0,net-zero,2033.0,2023.0,54.6,1 and 2,,,,,1.0,1.0,2.0,,,1.0,24300000.0,2023,331000000.0,2023
