ticker,company,sector,sub_industry,cik,legal_name,gics_sector,gics_sub_industry,hq_state,shares_outstanding
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,0001035443,Alexandria Real Estate Equities,Real Estate,Office REITs,California,170537867.0
ARES,Ares Management,Financials,Asset Management & Custody Banks,0001176948,Ares Management,Financials,Asset Management & Custody Banks,California,
ATO,Atmos Energy,Utilities,Gas Utilities,0000731802,Atmos Energy,Utilities,Gas Utilities,Texas,161568384.0
AVGO,Broadcom,Information Technology,Semiconductors,0001730168,Broadcom,Information Technology,Semiconductors,California,4741000000.0
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,0000008818,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,Ohio,76877487.0
AWK,American Water Works,Utilities,Water Utilities,0001410636,American Water Works,Utilities,Water Utilities,New Jersey,195000000.0
AXON,Axon Enterprise,Industrials,Aerospace & Defense,0001069183,Axon Enterprise,Industrials,Aerospace & Defense,Arizona,80211537.0
AXP,American Express,Financials,Consumer Finance,0000004962,American Express,Financials,Consumer Finance,New York,686000000.0
AZO,AutoZone,Consumer Discretionary,Automotive Retail,0000866787,AutoZone,Consumer Discretionary,Automotive Retail,Tennessee,17245000.0
BA,Boeing,Industrials,Aerospace & Defense,0000012927,Boeing,Industrials,Aerospace & Defense,Virginia,1012261159.0
BAC,Bank of America,Financials,Diversified Banks,0000070858,Bank of America,Financials,Diversified Banks,North Carolina,7212464345.0
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",0000009389,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",Colorado,275972000.0
BAX,Baxter International,Health Care,Health Care Equipment,0000010456,Baxter International,Health Care,Health Care Equipment,Illinois,513000000.0
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,0000764478,Best Buy,Consumer Discretionary,Computer & Electronics Retail,Minnesota,209100000.0
BDX,Becton Dickinson,Health Care,Health Care Equipment,0000010795,Becton Dickinson,Health Care,Health Care Equipment,New Jersey,288509000.0
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,0000038777,Franklin Resources,Financials,Asset Management & Custody Banks,California,520951796.0
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,0000014693,Brown–Forman,Consumer Staples,Distillers & Vintners,Kentucky,466733000.0
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,0001996862,Bunge Global,Consumer Staples,Agricultural Products & Services,Missouri,166466940.0
BIIB,Biogen,Health Care,Biotechnology,0000875045,Biogen,Health Care,Biotechnology,Massachusetts,146800000.0
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001075531,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Connecticut,32639000.0
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,0001701605,Baker Hughes,Energy,Oil & Gas Equipment & Services,Texas,
BLDR,Builders FirstSource,Industrials,Building Products,0001316835,Builders FirstSource,Industrials,Building Products,Texas,110585000.0
BLK,BlackRock,Financials,Asset Management & Custody Banks,0002012383,BlackRock,Financials,Asset Management & Custody Banks,New York,155069171.0
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,0000014272,Bristol Myers Squibb,Health Care,Pharmaceuticals,New York,2039000000.0
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,0001390777,BNY Mellon,Financials,Asset Management & Custody Banks,New York,688236337.0
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,0001383312,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,New York,117100000.0
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,0001067983,Berkshire Hathaway,Financials,Multi-Sector Holdings,Nebraska,
BRO,Brown & Brown,Financials,Insurance Brokers,0000079282,Brown & Brown,Financials,Insurance Brokers,Florida,336000000.0
BSX,Boston Scientific,Health Care,Health Care Equipment,0000885725,Boston Scientific,Health Care,Health Care Equipment,Massachusetts,1494500000.0
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,0001393818,Blackstone Inc.,Financials,Asset Management & Custody Banks,New York,748688068.0
BXP,"BXP, Inc.",Real Estate,Office REITs,0001037540,"BXP, Inc.",Real Estate,Office REITs,Massachusetts,158548298.0
C,Citigroup,Financials,Diversified Banks,0000831001,Citigroup,Financials,Diversified Banks,New York,1873100000.0
CAH,Cardinal Health,Health Care,Health Care Distributors,0000721371,Cardinal Health,Health Care,Health Care Distributors,Ohio,242000000.0
CARR,Carrier Global,Industrials,Building Products,0001783180,Carrier Global,Industrials,Building Products,Florida,836141122.0
CASY,Casey's,Consumer Staples,Food Retail,0000726958,Casey's,Consumer Staples,Food Retail,Iowa,36904285.0
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,0000018230,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,Texas,465300000.0
CB,Chubb Limited,Financials,Property & Casualty Insurance,0000896159,Chubb Limited,Financials,Property & Casualty Insurance,Switzerland,391101227.0
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,0001374310,Cboe Global Markets,Financials,Financial Exchanges & Data,Illinois,104647739.0
CBRE,CBRE Group,Real Estate,Real Estate Services,0001138118,CBRE Group,Real Estate,Real Estate Services,Texas,295731478.0
CCI,Crown Castle,Real Estate,Telecom Tower REITs,0001051470,Crown Castle,Real Estate,Telecom Tower REITs,Texas,435000000.0
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0000815097,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Florida,1402000000.0
CDNS,Cadence Design Systems,Information Technology,Application Software,0000813672,Cadence Design Systems,Information Technology,Application Software,California,271799000.0
CDW,CDW Corporation,Information Technology,Technology Distributors,0001402057,CDW Corporation,Information Technology,Technology Distributors,Illinois,129400000.0
CEG,Constellation Energy,Utilities,Electric Utilities,0001868275,Constellation Energy,Utilities,Electric Utilities,Maryland,312000000.0
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,0001324404,CF Industries,Materials,Fertilizers & Agricultural Chemicals,Illinois,153552162.0
CFG,Citizens Financial Group,Financials,Regional Banks,0000759944,Citizens Financial Group,Financials,Regional Banks,Rhode Island,429242174.0
CHD,Church & Dwight,Consumer Staples,Household Products,0000313927,Church & Dwight,Consumer Staples,Household Products,New Jersey,244300000.0
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,0001043277,C.H. Robinson,Industrials,Air Freight & Logistics,Minnesota,118429000.0
CHTR,Charter Communications,Communication Services,Cable & Satellite,0001091667,Charter Communications,Communication Services,Cable & Satellite,Connecticut,137743676.0
CI,Cigna,Health Care,Health Care Services,0001739940,Cigna,Health Care,Health Care Services,Connecticut,263464000.0
CIEN,Ciena,Information Technology,Communications Equipment,0000936395,Ciena,Information Technology,Communications Equipment,Maryland,141016300.0
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,0000020286,Cincinnati Financial,Financials,Property & Casualty Insurance,Ohio,157700000.0
CL,Colgate-Palmolive,Consumer Staples,Household Products,0000021665,Colgate-Palmolive,Consumer Staples,Household Products,New York,801239524.0
CLX,Clorox,Consumer Staples,Household Products,0000021076,Clorox,Consumer Staples,Household Products,California,122694263.0
CMCSA,Comcast,Communication Services,Cable & Satellite,0001166691,Comcast,Communication Services,Cable & Satellite,Pennsylvania,3709000000.0
CME,CME Group,Financials,Financial Exchanges & Data,0001156375,CME Group,Financials,Financial Exchanges & Data,Illinois,360310000.0
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,0001058090,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,California,1342616000.0
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,0000026172,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,Indiana,138700000.0
CMS,CMS Energy,Utilities,Multi-Utilities,0000811156,CMS Energy,Utilities,Multi-Utilities,Michigan,306400000.0
CNC,Centene Corporation,Health Care,Managed Health Care,0001071739,Centene Corporation,Health Care,Managed Health Care,Missouri,491757000.0
CNP,CenterPoint Energy,Utilities,Multi-Utilities,0001130310,CenterPoint Energy,Utilities,Multi-Utilities,Texas,652869575.0
COF,Capital One,Financials,Consumer Finance,0000927628,Capital One,Financials,Consumer Finance,Virginia,625102271.0
COHR,Coherent Corp.,Information Technology,Electronic Components,0000820318,Coherent Corp.,Information Technology,Electronic Components,Pennsylvania,154755000.0
COIN,Coinbase,Financials,Financial Exchanges & Data,0001679788,Coinbase,Financials,Financial Exchanges & Data,New York,267836000.0
COO,Cooper Companies (The),Health Care,Health Care Supplies,0000711404,Cooper Companies (The),Health Care,Health Care Supplies,California,195900000.0
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,0001163165,ConocoPhillips,Energy,Oil & Gas Exploration & Production,Texas,1253446000.0
COR,Cencora,Health Care,Health Care Distributors,0001140859,Cencora,Health Care,Health Care Distributors,Pennsylvania,193937673.0
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,0000909832,Costco,Consumer Staples,Consumer Staples Merchandise Retail,Washington,443237000.0
CPAY,Corpay,Financials,Transaction & Payment Processing Services,0001175454,Corpay,Financials,Transaction & Payment Processing Services,Georgia,68362289.0
CPRT,Copart,Industrials,Diversified Support Services,0000900075,Copart,Industrials,Diversified Support Services,Texas,967478690.0
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,0000906345,Camden Property Trust,Real Estate,Multi-Family Residential REITs,Texas,104300000.0
CRH,CRH plc,Materials,Construction Materials,0000849395,CRH plc,Materials,Construction Materials,Ireland,706946142.0
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,0001100682,Charles River Laboratories,Health Care,Life Sciences Tools & Services,Massachusetts,49217000.0
CRM,Salesforce,Information Technology,Application Software,0001108524,Salesforce,Information Technology,Application Software,California,929000000.0
CRWD,CrowdStrike,Information Technology,Systems Software,0001535527,CrowdStrike,Information Technology,Systems Software,Texas,250576000.0
CSCO,Cisco,Information Technology,Communications Equipment,0000858877,Cisco,Information Technology,Communications Equipment,California,3960000000.0
CSGP,CoStar Group,Real Estate,Real Estate Services,0001057352,CoStar Group,Real Estate,Real Estate Services,D.C.,417900000.0
CSX,CSX Corporation,Industrials,Rail Transportation,0000277948,CSX Corporation,Industrials,Rail Transportation,Florida,1860000000.0
CTAS,Cintas,Industrials,Diversified Support Services,0000723254,Cintas,Industrials,Diversified Support Services,Ohio,400147000.0
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,0001058290,Cognizant,Information Technology,IT Consulting & Other Services,New Jersey,479000000.0
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,0001755672,Corteva,Materials,Fertilizers & Agricultural Chemicals,Indiana,672163000.0
CVNA,Carvana,Consumer Discretionary,Automotive Retail,0001690820,Carvana,Consumer Discretionary,Automotive Retail,Arizona,224277000.0
CVS,CVS Health,Health Care,Health Care Services,0000064803,CVS Health,Health Care,Health Care Services,Rhode Island,1271000000.0
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,0000093410,Chevron Corporation,Energy,Integrated Oil & Gas,Texas,1856000000.0
D,Dominion Energy,Utilities,Multi-Utilities,0000715957,Dominion Energy,Utilities,Multi-Utilities,Virginia,879000000.0
DAL,Delta Air Lines,Industrials,Passenger Airlines,0000027904,Delta Air Lines,Industrials,Passenger Airlines,Georgia,654000000.0
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,0001792789,DoorDash,Consumer Discretionary,Specialized Consumer Services,California,439686000.0
DD,DuPont,Industrials,Industrial Conglomerates,0001666700,DuPont,Industrials,Industrial Conglomerates,Delaware,419200000.0
DDOG,Datadog,Information Technology,Application Software,0001561550,Datadog,Information Technology,Application Software,New York,363472000.0
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,0000315189,Deere & Company,Industrials,Agricultural & Farm Machinery,Illinois,270400000.0
DECK,Deckers Brands,Consumer Discretionary,Footwear,0000910521,Deckers Brands,Consumer Discretionary,Footwear,California,139978000.0
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",0001571996,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",Texas,652000000.0
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,0000029534,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,Tennessee,220222000.0
DGX,Quest Diagnostics,Health Care,Health Care Services,0001022079,Quest Diagnostics,Health Care,Health Care Services,New Jersey,113000000.0
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,0000882184,D. R. Horton,Consumer Discretionary,Homebuilding,Texas,294475153.0
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,0000313616,Danaher Corporation,Health Care,Life Sciences Tools & Services,D.C.,706900000.0
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,0001744489,Walt Disney Company (The),Communication Services,Movies & Entertainment,California,1900000000.0
DLR,Digital Realty,Real Estate,Data Center REITs,0001297996,Digital Realty,Real Estate,Data Center REITs,Texas,343557000.0
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,0000935703,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,Virginia,198505205.0
DOC,Healthpeak Properties,Real Estate,Health Care REITs,0000765880,Healthpeak Properties,Real Estate,Health Care REITs,Colorado,695036731.0
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,0000029905,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,Illinois,137777000.0
DOW,Dow Inc.,Materials,Commodity Chemicals,0001751788,Dow Inc.,Materials,Commodity Chemicals,Michigan,711600000.0
DPZ,Domino's,Consumer Discretionary,Restaurants,0001286681,Domino's,Consumer Discretionary,Restaurants,Michigan,33627992.0
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,0000940944,Darden Restaurants,Consumer Discretionary,Restaurants,Florida,114100000.0
DTE,DTE Energy,Utilities,Multi-Utilities,0000936340,DTE Energy,Utilities,Multi-Utilities,Michigan,207745154.0
DUK,Duke Energy,Utilities,Electric Utilities,0001326160,Duke Energy,Utilities,Electric Utilities,North Carolina,778000000.0
DVA,DaVita,Health Care,Health Care Services,0000927066,DaVita,Health Care,Health Care Services,Colorado,68549000.0
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,0001090012,Devon Energy,Energy,Oil & Gas Exploration & Production,Oklahoma,633000000.0
DXCM,Dexcom,Health Care,Health Care Equipment,0001093557,Dexcom,Health Care,Health Care Equipment,California,384800000.0
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,0001065088,eBay Inc.,Consumer Discretionary,Broadline Retail,California,449000000.0
ECHO,EchoStar,Communication Services,Wireless Telecommunication Services,0001415404,EchoStar,Communication Services,Wireless Telecommunication Services,Colorado,287589000.0
ECL,Ecolab,Materials,Specialty Chemicals,0000031462,Ecolab,Materials,Specialty Chemicals,Minnesota,282000000.0
ED,Consolidated Edison,Utilities,Multi-Utilities,0001047862,Consolidated Edison,Utilities,Multi-Utilities,New York,361121447.0
EFX,Equifax,Industrials,Research & Consulting Services,0000033185,Equifax,Industrials,Research & Consulting Services,Georgia,120400000.0
EG,Everest Group,Financials,Reinsurance,0001095073,Everest Group,Financials,Reinsurance,Bermuda,74400000.0
EIX,Edison International,Utilities,Electric Utilities,0000827052,Edison International,Utilities,Electric Utilities,California,384787056.0
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,0001001250,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,New York,360100000.0
ELV,Elevance Health,Health Care,Managed Health Care,0001156039,Elevance Health,Health Care,Managed Health Care,Indiana,220723898.0
EME,Emcor,Industrials,Construction & Engineering,0000105634,Emcor,Industrials,Construction & Engineering,Connecticut,44520367.0
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,0000032604,Emerson Electric,Industrials,Electrical Components & Equipment,Missouri,562800000.0
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,0000821189,EOG Resources,Energy,Oil & Gas Exploration & Production,Texas,546000000.0
EQIX,Equinix,Real Estate,Data Center REITs,0001101239,Equinix,Real Estate,Data Center REITs,California,98226000.0
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,0000033213,EQT Corporation,Energy,Oil & Gas Exploration & Production,Pennsylvania,615717000.0
ERIE,Erie Indemnity,Financials,Insurance Brokers,0000922621,Erie Indemnity,Financials,Insurance Brokers,Pennsylvania,
ES,Eversource Energy,Utilities,Electric Utilities,0000072741,Eversource Energy,Utilities,Electric Utilities,Connecticut,375416880.0
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,0000920522,Essex Property Trust,Real Estate,Multi-Family Residential REITs,California,64442290.0
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,0001551182,Eaton Corporation,Industrials,Electrical Components & Equipment,Ireland,387900000.0
ETR,Entergy,Utilities,Electric Utilities,0000065984,Entergy,Utilities,Electric Utilities,Louisiana,450151884.0
EVRG,Evergy,Utilities,Electric Utilities,0001711269,Evergy,Utilities,Electric Utilities,Missouri,233600000.0
EW,Edwards Lifesciences,Health Care,Health Care Equipment,0001099800,Edwards Lifesciences,Health Care,Health Care Equipment,California,580700000.0
EXC,Exelon,Utilities,Electric Utilities,0001109357,Exelon,Utilities,Electric Utilities,Illinois,1023000000.0
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,0000895126,Expand Energy,Energy,Oil & Gas Exploration & Production,Oklahoma,240370000.0
EXPD,Expeditors International,Industrials,Air Freight & Logistics,0000746515,Expeditors International,Industrials,Air Freight & Logistics,Washington,133884000.0
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001324424,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Washington,116975000.0
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,0001289490,Extra Space Storage,Real Estate,Self-Storage REITs,Utah,211155322.0
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,0000037996,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,Michigan,3979000000.0
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,0001539838,Diamondback Energy,Energy,Oil & Gas Exploration & Production,Texas,284594908.0
FAST,Fastenal,Industrials,Trading Companies & Distributors,0000815556,Fastenal,Industrials,Trading Companies & Distributors,Minnesota,1148057473.0
FCX,Freeport-McMoRan,Materials,Copper,0000831259,Freeport-McMoRan,Materials,Copper,Arizona,1443000000.0
FDS,FactSet,Financials,Financial Exchanges & Data,0001013237,FactSet,Financials,Financial Exchanges & Data,Connecticut,37645870.0
FDX,FedEx,Industrials,Air Freight & Logistics,0001048911,FedEx,Industrials,Air Freight & Logistics,Tennessee,239000000.0
FDXF,FedEx Freight,Industrials,Cargo Ground Transportation,0002082247,FedEx Freight,Industrials,Cargo Ground Transportation,Tennessee,149505248.0
FE,FirstEnergy,Utilities,Electric Utilities,0001031296,FirstEnergy,Utilities,Electric Utilities,Ohio,577851052.0
FERG,Ferguson Enterprises,Industrials,Trading Companies & Distributors,0002011641,Ferguson Enterprises,Industrials,Trading Companies & Distributors,Virginia,199200000.0
FFIV,"F5, Inc.",Information Technology,Communications Equipment,0001048695,"F5, Inc.",Information Technology,Communications Equipment,Washington,57684000.0
FICO,Fair Isaac,Information Technology,Application Software,0000814547,Fair Isaac,Information Technology,Application Software,Montana,23764000.0
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,0001136893,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,Florida,525000000.0
FISV,Fiserv,Financials,Transaction & Payment Processing Services,0000798354,Fiserv,Financials,Transaction & Payment Processing Services,Wisconsin,549000000.0
FITB,Fifth Third Bancorp,Financials,Regional Banks,0000035527,Fifth Third Bancorp,Financials,Regional Banks,Ohio,661197787.0
FIX,Comfort Systems USA,Industrials,Construction & Engineering,0001035983,Comfort Systems USA,Industrials,Construction & Engineering,Texas,35177000.0
FLEX,Flex Ltd.,Information Technology,Electronic Manufacturing Services,0000866374,Flex Ltd.,Information Technology,Electronic Manufacturing Services,Texas,365690291.0
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,0001754301,Fox Corporation (Class B),Communication Services,Broadcasting,New York,461000000.0
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,0000034903,Federal Realty Investment Trust,Real Estate,Retail REITs,Maryland,86266009.0
FSLR,First Solar,Information Technology,Semiconductors,0001274494,First Solar,Information Technology,Semiconductors,Arizona,107309794.0
FTNT,Fortinet,Information Technology,Systems Software,0001262039,Fortinet,Information Technology,Systems Software,California,743000000.0
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,0001659166,Fortive,Industrials,Industrial Machinery & Supplies & Components,Washington,313400000.0
GD,General Dynamics,Industrials,Aerospace & Defense,0000040533,General Dynamics,Industrials,Aerospace & Defense,Virginia,270389759.0
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,0001609711,GoDaddy,Information Technology,Internet Services & Infrastructure,Arizona,134737000.0
GE,GE Aerospace,Industrials,Aerospace & Defense,0000040545,GE Aerospace,Industrials,Aerospace & Defense,Ohio,1048766702.0
GEHC,GE HealthCare,Health Care,Health Care Equipment,0001932393,GE HealthCare,Health Care,Health Care Equipment,Illinois,458000000.0
GEN,Gen Digital,Information Technology,Systems Software,0000849399,Gen Digital,Information Technology,Systems Software,Arizona,598000000.0
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,0001996810,GE Vernova,Industrials,Heavy Electrical Equipment,Massachusetts,269529464.0
GILD,Gilead Sciences,Health Care,Biotechnology,0000882095,Gilead Sciences,Health Care,Biotechnology,California,1241000000.0
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,0000040704,General Mills,Consumer Staples,Packaged Foods & Meats,Minnesota,537700000.0
GL,Globe Life,Financials,Life & Health Insurance,0000320335,Globe Life,Financials,Life & Health Insurance,Texas,92218183.0
GLW,Corning Inc.,Information Technology,Electronic Components,0000024741,Corning Inc.,Information Technology,Electronic Components,New York,871000000.0
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,0001467858,General Motors,Consumer Discretionary,Automobile Manufacturers,Michigan,904000000.0
GNRC,Generac,Industrials,Heavy Electrical Equipment,0001474735,Generac,Industrials,Heavy Electrical Equipment,Wisconsin,59275781.0
