ticker,company,sector,sub_industry,cik,legal_name,lei,ultimate_parent_lei,gics_sector,gics_sub_industry,hq_state,market_cap_usd,shares_outstanding,scope1_tco2e,scope1_tco2e_fy,ghg_facility_count,ghg_facility_count_fy,grid_intensity_kgco2e_per_mwh,grid_intensity_kgco2e_per_mwh_fy,cogs_usd,cogs_usd_fy,energy_cost_usd,energy_cost_usd_fy,revenue_usd,revenue_usd_fy,ebit_usd,ebit_usd_fy,ebitda_usd,ebitda_usd_fy,free_cash_flow_usd,free_cash_flow_usd_fy,capex_usd,capex_usd_fy,rnd_expense_usd,rnd_expense_usd_fy,sbti_target_validated,sbti_target_type,target_year,target_baseline_year,target_reduction_pct,target_scope_coverage,risk_hitword_density,risk_hitword_density_fy,has_climate_oversight_committee,has_third_party_assurance,assurance_level,emissions_boundary_stated,has_clawback_policy,has_psu_plan,performance_period_years,independent_director_count,board_size,lead_independent_director,buybacks_usd,buybacks_usd_fy,dividends_paid_usd,dividends_paid_usd_fy,penalty_total_usd,penalty_total_usd_fy,penalty_count,penalty_count_fy,flows_all_target_year
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,0000008670,Automatic Data Processing,HGBOLILQXWER4SAL2I23,,Industrials,Human Resource & Employment Services,New Jersey,106569711616.0,405300000.0,,,,,212.4217,2023,11097300000.0,2025,,,20560900000.0,2025,5310100000.0,2025,5892500000.0,2025,,,,,988600000.0,2025,0.0,,,,,,,,,,,,1.0,1.0,3.0,10.0,12.0,0.0,1280500000.0,2025,2398900000.0,2025,0.0,2026,0.0,2026,False
ADSK,Autodesk,Information Technology,Application Software,0000769397,Autodesk,FRKKVKAIQEF3FCSTPG55,,Information Technology,Application Software,California,44391600128.0,212000000.0,,,,,178.4824,2023,650000000.0,2025,,,7206000000.0,2025,1578000000.0,2025,1773000000.0,2025,2409000000.0,2025,43000000.0,2025,1643000000.0,2025,0.0,near-term,2031.0,2020.0,50.0,1 and 2,,,,,,1.0,1.0,1.0,3.0,,,1.0,1402000000.0,2025,0.0,2024,0.0,2026,0.0,2026,False
AEE,Ameren,Utilities,Multi-Utilities,0001002910,Ameren,XRZQ5S7HYJFPHJ78L959,,Utilities,Multi-Utilities,Missouri,29040859136.0,276400000.0,19790344.7,2023,15.0,2023,655.0494,2023,,,,,8799000000.0,2025,2026000000.0,2025,3638000000.0,2025,-775000000.0,2025,4128000000.0,2025,,,0.0,,,,,,,,,,,,1.0,1.0,3.0,,,1.0,,,768000000.0,2025,20477.0,2026,14.0,2026,False
AEP,American Electric Power,Utilities,Electric Utilities,0000004904,American Electric Power,1B4S6S7G0TW5EE83BO58,,Utilities,Electric Utilities,Ohio,67140530176.0,537467865.0,48971842.6,2023,26.0,2023,482.5511,2023,,,,,21876000000.0,2025,5319000000.0,2025,8644000000.0,2025,3491000000.0,2025,3453000000.0,2025,,,0.0,,,,,,,,,,,,1.0,0.0,3.0,,,1.0,,,2008000000.0,2025,169029.0,2026,17.0,2026,False
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,0000874761,AES Corporation,2NUNNB7D43COUIRE5295,,Utilities,Independent Power Producers & Energy Traders,Virginia,10551757824.0,712201777.0,15564932.7,2023,11.0,2023,243.5116,2023,10022000000.0,2025,,,12233000000.0,2025,96000000.0,2022,-976000000.0,2022,-1623000000.0,2025,5929000000.0,2025,,,0.0,,,,,,0.4166666666666667,2025,,,,,1.0,1.0,3.0,,,1.0,,,501000000.0,2025,0.0,2026,0.0,2026,False
AFL,Aflac,Financials,Life & Health Insurance,0000004977,Aflac,549300N0B7DOGLXWPP39,,Financials,Life & Health Insurance,Georgia,57794854912.0,518690000.0,,,,,323.7885,2023,,,,,17164000000.0,2025,4533000000.0,2025,4569000000.0,2025,,,,,,,0.0,,,,,,0.4166666666666667,2025,,,,,1.0,1.0,3.0,,,1.0,3530000000.0,2025,1198000000.0,2025,0.0,2026,0.0,2026,False
AIG,American International Group,Financials,Multi-line Insurance,0000005272,American International Group,ODVCVCQG2BP6VHV36M30,,Financials,Multi-line Insurance,New York,39389544448.0,538200000.0,,,,,210.982,2023,,,,,26775000000.0,2025,3879000000.0,2025,7334000000.0,2025,6003000000.0,2023,240000000.0,2023,,,0.0,,,,,,,,,,,,1.0,1.0,3.0,,,1.0,5836000000.0,2025,976000000.0,2025,0.0,2026,0.0,2026,False
AIZ,Assurant,Financials,Multi-line Insurance,0001267238,Assurant,H3F39CAXWQRVWURFXL38,,Financials,Multi-line Insurance,Georgia,13931991040.0,49792919.0,,,,,323.7885,2023,,,,,12814300000.0,2025,1087400000.0,2025,1337400000.0,2025,1598400000.0,2025,235500000.0,2025,,,0.0,,,,,,,,,1.0,,,1.0,1.0,3.0,,,1.0,303700000.0,2025,168400000.0,2025,0.0,2026,0.0,2026,False
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,0000354190,Arthur J. Gallagher & Co.,54930049QLLMPART6V29,,Financials,Insurance Brokers,Illinois,61603868672.0,257000000.0,,,,,213.9618,2023,22900000.0,2022,,,13942000000.0,2025,1871000000.0,2025,2993000000.0,2025,,,,,,,0.0,,,,,,,,,,,,1.0,1.0,3.0,,,1.0,,,667000000.0,2025,0.0,2026,0.0,2026,False
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,0001086222,Akamai Technologies,OC1LZNN2LF5WTJ5RIL89,,Information Technology,Internet Services & Infrastructure,Massachusetts,15347496960.0,144711094.0,,,,,373.0301,2023,1727513000.0,2025,,,4208175000.0,2025,566944000.0,2025,1275555000.0,2025,1010979000.0,2025,507786000.0,2025,513560000.0,2025,0.0,commitment,,,,,,,,,,1.0,1.0,0.0,1.0,,,0.0,799963000.0,2025,,,0.0,2026,0.0,2026,False
ALB,Albemarle Corporation,Materials,Specialty Chemicals,0000915913,Albemarle Corporation,HDBLS2Q6GV1LSKQPBS54,,Materials,Specialty Chemicals,North Carolina,13867954176.0,117716000.0,229671.7,2023,3.0,2023,283.0228,2023,4474014000.0,2025,,,5142733000.0,2025,-367084000.0,2025,291594000.0,2025,692466000.0,2025,589801000.0,2025,51398000.0,2025,0.0,,,,,,,,,,,,1.0,1.0,3.0,,,1.0,,,190530000.0,2025,254535.0,2026,10.0,2026,False
ALGN,Align Technology,Health Care,Health Care Supplies,0001097149,Align Technology,549300N5YSE0U3LCP840,,Health Care,Health Care Supplies,Arizona,10714231808.0,71364000.0,,,,,311.4764,2023,1323951000.0,2025,,,4034964000.0,2025,545755000.0,2025,783191000.0,2025,490778000.0,2025,102445000.0,2025,369911000.0,2025,0.0,,,,,,,,,1.0,limited,,1.0,0.0,3.0,,,0.0,465939000.0,2025,,,0.0,2026,0.0,2026,False
ALL,Allstate,Financials,Property & Casualty Insurance,0000899051,Allstate,OBT0W1ED8G0NWVOLOJ77,,Financials,Property & Casualty Insurance,Illinois,64152592384.0,260000000.0,,,,,213.9618,2023,,,,,67685000000.0,2025,13156000000.0,2025,13638000000.0,2025,9882000000.0,2025,228000000.0,2025,,,0.0,,,,,,,,,,,,1.0,1.0,3.0,,,1.0,1233000000.0,2025,1036000000.0,2025,15775.0,2026,9.0,2026,False
ALLE,Allegion,Industrials,Building Products,0001579241,Allegion,,,Industrials,Building Products,Ireland,13040391168.0,86066997.0,,,,,,,2229000000.0,2025,,,4067300000.0,2025,859500000.0,2025,989200000.0,2025,685700000.0,2025,98100000.0,2025,132000000.0,2025,0.0,,,,,,,,,,,,1.0,1.0,1.0,7.0,8.0,0.0,80000000.0,2025,175300000.0,2025,0.0,2026,2.0,2026,False
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,0000006951,Applied Materials,41BNNE1AFPNAZELZ6K07,,Information Technology,Semiconductor Materials & Equipment,California,362269278208.0,793000000.0,,,,,178.4824,2023,14560000000.0,2025,,,28368000000.0,2025,8289000000.0,2025,8724000000.0,2025,5698000000.0,2025,2260000000.0,2025,3570000000.0,2025,0.0,near-term,2030.0,2019.0,50.0,1 and 2,,,,,,,1.0,1.0,3.0,,,1.0,4895000000.0,2025,1384000000.0,2025,0.0,2026,3.0,2026,False
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,0001748790,Amcor,549300MHU26181T1TS43,,Materials,Paper & Plastic Packaging Products & Materials,United Kingdom,19566469120.0,318600000.0,,,,,,,12175000000.0,2025,,,15009000000.0,2025,1009000000.0,2025,1731000000.0,2025,810000000.0,2025,580000000.0,2025,120000000.0,2025,0.0,near-term,,,,,,,,,,,1.0,1.0,3.0,,,0.0,0.0,2025,845000000.0,2025,123029.0,2026,36.0,2026,False
AMD,Advanced Micro Devices,Information Technology,Semiconductors,0000002488,Advanced Micro Devices,R2I72C950HOYXII45366,,Information Technology,Semiconductors,California,842569351168.0,1630000000.0,,,,,178.4824,2023,17487000000.0,2025,,,34639000000.0,2025,3694000000.0,2025,3916000000.0,2025,6735000000.0,2025,974000000.0,2025,8091000000.0,2025,0.0,near-term,2020.0,2014.0,20.0,1 and 2,0.3333333333333333,2025,,,,1.0,1.0,1.0,3.0,,,1.0,1316000000.0,2025,,,0.0,2026,0.0,2026,False
AME,Ametek,Industrials,Electrical Components & Equipment,0001037868,Ametek,549300WZDEF9KKE40E98,,Industrials,Electrical Components & Equipment,Pennsylvania,55451418624.0,229000000.0,,,,,292.9175,2023,4733677000.0,2025,,,7401116000.0,2025,1910317000.0,2025,2333121000.0,2025,1671515000.0,2025,130248000.0,2025,236100000.0,2025,0.0,,,,,,,,,,,,1.0,1.0,3.0,7.0,8.0,1.0,434048000.0,2025,285345000.0,2025,0.0,2026,10.0,2026,False
AMGN,Amgen,Health Care,Biotechnology,0000318154,Amgen,62QBXGPJ34PQ72Z12S66,,Health Care,Biotechnology,California,204007489536.0,538800000.0,61780.4,2023,1.0,2023,178.4824,2023,12037000000.0,2025,,,36751000000.0,2025,9080000000.0,2025,14247000000.0,2025,8100000000.0,2025,1858000000.0,2025,,,0.0,near-term,2030.0,2019.0,55.0,1 and 2,,,,,,,1.0,0.0,3.0,11.0,12.0,1.0,0.0,2025,5124000000.0,2025,0.0,2026,1.0,2026,False
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,0000820027,Ameriprise Financial,6ZLKQF7QB6JAEKQS5388,,Financials,Asset Management & Custody Banks,Minnesota,49255481344.0,98200000.0,,,,,339.0806,2023,,,,,18911000000.0,2025,4504000000.0,2025,4655000000.0,2025,8161000000.0,2025,162000000.0,2025,,,0.0,,,,,,,,,,,,1.0,1.0,3.0,7.0,8.0,0.0,2907000000.0,2025,596000000.0,2025,0.0,2026,0.0,2026,False
AMT,American Tower,Real Estate,Telecom Tower REITs,0001053507,American Tower,5493006ORUSIL88JOE18,,Real Estate,Telecom Tower REITs,Massachusetts,82871001088.0,466318000.0,,,,,373.0301,2023,,,,,10644600000.0,2025,4845800000.0,2025,6887400000.0,2025,3783600000.0,2025,1680400000.0,2025,,,0.0,near-term,2035.0,2019.0,40.0,"1, 2 and 3",,,,,,,1.0,1.0,1.0,10.0,11.0,0.0,364600000.0,2025,3180800000.0,2025,0.0,2026,0.0,2026,False
AMZN,Amazon,Consumer Discretionary,Broadline Retail,0001018724,Amazon,558600XWS1M9EKL4H752,,Consumer Discretionary,Broadline Retail,Washington,2769709432832.0,10731000000.0,,,,,120.2561,2023,356414000000.0,2025,,,716924000000.0,2025,79975000000.0,2025,145731000000.0,2025,7695000000.0,2025,131819000000.0,2025,,,0.0,commitment,,,,,,,,,,,1.0,0.0,,,,1.0,0.0,2024,,,182961.0,2026,181.0,2026,False
ANET,Arista Networks,Information Technology,Communications Equipment,0001596532,Arista Networks,635400H1WKBLOQERUU95,,Information Technology,Communications Equipment,California,251727839232.0,1256500000.0,,,,,178.4824,2023,3237000000.0,2025,,,9005700000.0,2025,3856100000.0,2025,3928700000.0,2025,4252400000.0,2025,119500000.0,2025,1237300000.0,2025,1.0,near-term,2030.0,2023.0,42.0,1 and 2,,,1.0,1.0,,,1.0,1.0,,,,1.0,1603100000.0,2025,,,0.0,2026,0.0,2026,False
AON,Aon plc,Financials,Insurance Brokers,0000315293,Aon plc,,,Financials,Insurance Brokers,United Kingdom,64208248832.0,217100000.0,,,,,,,,,,,17181000000.0,2025,4344000000.0,2025,4520000000.0,2025,3218000000.0,2025,263000000.0,2025,,,0.0,near-term,2032.0,,,,,,,,,,1.0,1.0,3.0,12.0,13.0,0.0,,,629000000.0,2025,0.0,2026,0.0,2026,False
AOS,A. O. Smith,Industrials,Building Products,0000091142,A. O. Smith,549300XG4US7UJNECY36,,Industrials,Building Products,Wisconsin,7799793152.0,141914840.0,,,,,524.8046,2023,2342800000.0,2025,,,3830200000.0,2025,728600000.0,2025,813700000.0,2025,546000000.0,2025,70800000.0,2025,95000000.0,2025,0.0,,,,,,0.3333333333333333,2025,,,,,1.0,1.0,3.0,8.0,10.0,0.0,400800000.0,2025,195700000.0,2025,1500.0,2026,3.0,2026,False
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,0001841666,APA Corporation,549300VCIWLRHYVSHC79,,Energy,Oil & Gas Exploration & Production,Texas,15671223296.0,352964646.0,304822.8,2023,14.0,2023,348.5027,2023,,,,,,,3087000000.0,2025,5391000000.0,2025,,,,,,,0.0,,,,,,,,,,,,1.0,0.0,3.0,,,0.0,,,360000000.0,2025,0.0,2026,0.0,2026,False
APD,Air Products,Materials,Industrial Gases,0000002969,Air Products,549300TWUESJXW0P4Q61,,Materials,Industrial Gases,Pennsylvania,64897245184.0,222588256.0,,,,,292.9175,2023,8256000000.0,2025,,,12037300000.0,2025,-877000000.0,2025,687200000.0,2025,-3765800000.0,2025,7022600000.0,2025,96300000.0,2025,0.0,,,,,,,,,,,,1.0,0.0,1.0,,,0.0,,,1584100000.0,2025,11658683.0,2026,46.0,2026,False
APH,Amphenol,Information Technology,Electronic Components,0000820313,Amphenol,549300D3L3G0R4U4VT04,,Information Technology,Electronic Components,Connecticut,206943928320.0,1226600000.0,,,,,244.1532,2023,14577000000.0,2025,,,23094700000.0,2025,5868600000.0,2025,6791000000.0,2025,4378100000.0,2025,996600000.0,2025,647000000.0,2025,0.0,,,,,,,,1.0,,,,1.0,0.0,,,,1.0,665200000.0,2025,802200000.0,2025,985000.0,2026,8.0,2026,False
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,0001858681,Apollo Global Management,254900LMFT1CY9IYB476,,Financials,Asset Management & Custody Banks,New York,76168257536.0,578981398.0,,,,,210.982,2023,,,,,32049000000.0,2025,6677000000.0,2025,8108000000.0,2025,,,,,,,0.0,,,,,,,,,,,,1.0,0.0,5.0,,,1.0,773000000.0,2025,1201000000.0,2025,0.0,2026,0.0,2026,False
APP,AppLovin,Communication Services,Advertising,0001751008,AppLovin,549300LLVXMUAOL3SQ07,,Communication Services,Advertising,California,108830965760.0,338313000.0,,,,,178.4824,2023,665140000.0,2025,,,5480717000.0,2025,4151914000.0,2025,4346692000.0,2025,2094235000.0,2024,4776000.0,2024,226510000.0,2025,0.0,,,,,,,,,,,,1.0,1.0,,6.0,9.0,1.0,2191944000.0,2025,,,0.0,2026,0.0,2026,False
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,0001521332,Aptiv,,,Consumer Discretionary,Automotive Parts & Equipment,Switzerland,9455622144.0,212746899.0,,,,,,,16500000000.0,2025,,,20398000000.0,2025,1184000000.0,2025,2175000000.0,2025,1529000000.0,2025,656000000.0,2025,1129000000.0,2025,0.0,near-term,2030.0,,,,,,,,,,1.0,1.0,3.0,10.0,11.0,1.0,397000000.0,2025,0.0,2022,0.0,2026,1.0,2026,False
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,0001035443,Alexandria Real Estate Equities,MGCJBT4MKTQBVLNUIS88,,Real Estate,Office REITs,California,8800952320.0,170537867.0,,,,,178.4824,2023,,,,,3026556000.0,2025,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,1.0,3.0,7.0,8.0,1.0,208187000.0,2025,911450000.0,2025,0.0,2026,0.0,2026,False
ARES,Ares Management,Financials,Asset Management & Custody Banks,0001176948,Ares Management,,,Financials,Asset Management & Custody Banks,California,43674984448.0,313170171.0,1454174.1,2023,1.0,2023,178.4824,2023,,,,,5601482000.0,2025,1286893000.0,2025,,,,,,,,,0.0,,,,,,,,,,,,1.0,0.0,,,,0.0,,,,,0.0,2026,0.0,2026,False
ATO,Atmos Energy,Utilities,Gas Utilities,0000731802,Atmos Energy,QVLWEGTD2S8GJMO8D383,,Utilities,Gas Utilities,Texas,27577243648.0,161568384.0,737121.0,2023,12.0,2023,348.5027,2023,1452173000.0,2023,,,4702755000.0,2025,1559971000.0,2025,2294716000.0,2025,-1511943000.0,2025,3561399000.0,2025,,,0.0,,,,,,,,,,,,1.0,1.0,3.0,11.0,12.0,1.0,,,553761000.0,2025,0.0,2026,0.0,2026,False
AVGO,Broadcom,Information Technology,Semiconductors,0001730168,Broadcom,,,Information Technology,Semiconductors,California,1728006324224.0,4741000000.0,34457.1,2023,1.0,2023,178.4824,2023,20593000000.0,2025,,,63887000000.0,2025,25484000000.0,2025,25484000000.0,2025,26914000000.0,2025,623000000.0,2025,10977000000.0,2025,0.0,commitment,,,,,,,,,,,1.0,1.0,3.0,7.0,8.0,1.0,2450000000.0,2025,11142000000.0,2025,0.0,2026,1.0,2026,False
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,0000008818,Avery Dennison,549300PW7VPFCYKLIV37,,Materials,Paper & Plastic Packaging Products & Materials,Ohio,12836996096.0,76877487.0,,,,,482.5511,2023,6309200000.0,2025,,,8855500000.0,2025,925100000.0,2025,1253300000.0,2025,712400000.0,2025,169000000.0,2025,136600000.0,2025,0.0,near-term,2030.0,2015.0,70.0,1 and 2,,,,,,,1.0,0.0,3.0,8.0,10.0,1.0,572300000.0,2025,288400000.0,2025,50550.0,2026,16.0,2026,False
AWK,American Water Works,Utilities,Water Utilities,0001410636,American Water Works,549300DXHIJQMD5WFW18,,Utilities,Water Utilities,New Jersey,27362996224.0,195000000.0,,,,,212.4217,2023,,,,,5121000000.0,2025,1879000000.0,2025,2773000000.0,2025,-1067000000.0,2025,3126000000.0,2025,,,0.0,,,,,,,,,,,,1.0,1.0,3.0,,,1.0,0.0,2021,633000000.0,2025,0.0,2026,0.0,2026,False
AXON,Axon Enterprise,Industrials,Aerospace & Defense,0001069183,Axon Enterprise,549300QP2IEEGFE16681,,Industrials,Aerospace & Defense,Arizona,38940344320.0,80211537.0,,,,,311.4764,2023,1121411000.0,2025,,,2779536000.0,2025,-62076000.0,2025,21085000.0,2025,75081000.0,2025,136258000.0,2025,684308000.0,2025,0.0,,,,,,,,,,,,1.0,0.0,,,,1.0,,,,,0.0,2026,0.0,2026,False
AXP,American Express,Financials,Consumer Finance,0000004962,American Express,,,Financials,Consumer Finance,New York,219266351104.0,686000000.0,,,,,210.982,2023,,,,,41304000000.0,2025,13795000000.0,2025,15572000000.0,2025,16003000000.0,2025,2425000000.0,2025,,,1.0,near-term,2033.0,2019.0,60.0,1 and 2,,,,,,,1.0,1.0,3.0,,,1.0,5814000000.0,2025,2271000000.0,2025,0.0,2026,0.0,2026,False
AZO,AutoZone,Consumer Discretionary,Automotive Retail,0000866787,AutoZone,GA3JGKJ41LJKXDN23E90,,Consumer Discretionary,Automotive Retail,Tennessee,,17245000.0,,,,,298.1312,2023,8972243000.0,2025,,,18938717000.0,2025,3610156000.0,2025,4223355000.0,2025,1790080000.0,2025,1327257000.0,2025,,,0.0,,,,,,,,,,,,1.0,1.0,4.0,,,1.0,1578186000.0,2025,,,27456.0,2026,27.0,2026,False
BA,Boeing,Industrials,Aerospace & Defense,0000012927,Boeing,RVHJWBXLJ1RFUBSY1F30,,Industrials,Aerospace & Defense,Virginia,166333366272.0,1012261159.0,151144.8,2023,4.0,2023,243.5116,2023,85174000000.0,2025,,,89463000000.0,2025,4281000000.0,2025,6234000000.0,2025,-1877000000.0,2025,2942000000.0,2025,3615000000.0,2025,0.0,,,,,,,,,,,,1.0,1.0,3.0,,,0.0,,,331000000.0,2025,444525.0,2026,28.0,2026,False
BAC,Bank of America,Financials,Diversified Banks,0000070858,Bank of America,9DJT3UXIJIZJI4WXO774,,Financials,Diversified Banks,North Carolina,438375383040.0,7212464345.0,,,,,283.0228,2023,,,,,113097000000.0,2025,37695000000.0,2025,40009000000.0,2025,,,,,,,0.0,,,,,,,,,,,,1.0,0.0,3.0,,,1.0,21433000000.0,2025,,,42546.0,2026,2.0,2026,False
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",0000009389,Ball Corporation,0BGI85ALH27ZJP15DY16,,Materials,"Metal, Glass & Plastic Containers",Colorado,15855731712.0,275972000.0,,,,,492.1572,2023,,,,,13161000000.0,2025,1273000000.0,2025,1895000000.0,2025,788000000.0,2025,474000000.0,2025,55000000.0,2023,0.0,near-term,2030.0,,,,,,,,,,1.0,1.0,3.0,8.0,9.0,1.0,1321000000.0,2025,220000000.0,2025,37250.0,2026,2.0,2026,False
BAX,Baxter International,Health Care,Health Care Equipment,0000010456,Baxter International,J5OIVXX3P24RJRW5CK77,,Health Care,Health Care Equipment,Illinois,12304504832.0,513000000.0,43203.8,2023,1.0,2023,213.9618,2023,7865000000.0,2025,,,11244000000.0,2025,-308000000.0,2025,673000000.0,2025,332000000.0,2025,513000000.0,2025,518000000.0,2025,0.0,,,,,,,,,,,,1.0,1.0,3.0,8.0,9.0,1.0,0.0,2024,348000000.0,2025,0.0,2026,0.0,2026,False
