ticker,company,sector,sub_industry,cik,legal_name,lei,ultimate_parent_lei,gics_sector,gics_sub_industry,hq_state,market_cap_usd,shares_outstanding,scope1_tco2e,ghg_facility_count,grid_intensity_kgco2e_per_mwh,cogs_usd,energy_cost_usd,revenue_usd,ebit_usd,ebitda_usd,free_cash_flow_usd,capex_usd,rnd_expense_usd,sbti_target_validated,sbti_target_type,target_year,target_baseline_year,target_reduction_pct,target_scope_coverage,risk_hitword_density,has_climate_oversight_committee,has_third_party_assurance,assurance_level,emissions_boundary_stated,has_clawback_policy,has_psu_plan,performance_period_years,independent_director_count,board_size,lead_independent_director,buybacks_usd,dividends_paid_usd,penalty_total_usd,penalty_count
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,structural,structural,structural,imputed,imputed
ADSK,Autodesk,Information Technology,Application Software,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,quote_verified,quote_verified,quote_verified,quote_verified,missing,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,quote_verified,structural,structural,imputed,imputed
AEE,Ameren,Utilities,Multi-Utilities,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,quote_verified,not_disclosed,structural,imputed,imputed
AEP,American Electric Power,Utilities,Electric Utilities,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,structural,quote_verified,not_disclosed,not_disclosed,quote_verified,not_disclosed,structural,imputed,imputed
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,quote_verified,not_disclosed,structural,imputed,imputed
AFL,Aflac,Financials,Life & Health Insurance,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,quote_verified,structural,structural,imputed,imputed
AIG,American International Group,Financials,Multi-line Insurance,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,quote_verified,structural,structural,imputed,imputed
AIZ,Assurant,Financials,Multi-line Insurance,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,quote_verified,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,quote_verified,structural,structural,imputed,imputed
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,quote_verified,not_disclosed,structural,imputed,imputed
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,structural,quote_verified,not_disclosed,not_disclosed,structural,structural,not_disclosed,imputed,imputed
ALB,Albemarle Corporation,Materials,Specialty Chemicals,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,quote_verified,not_disclosed,structural,imputed,imputed
ALGN,Align Technology,Health Care,Health Care Supplies,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,quote_verified,quote_verified,not_disclosed,quote_verified,structural,quote_verified,not_disclosed,not_disclosed,structural,structural,not_disclosed,imputed,imputed
ALL,Allstate,Financials,Property & Casualty Insurance,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,quote_verified,structural,structural,imputed,imputed
ALLE,Allegion,Industrials,Building Products,structural,structural,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,structural,structural,imputed,imputed
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,quote_verified,quote_verified,quote_verified,quote_verified,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,quote_verified,structural,structural,imputed,imputed
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,structural,structural,structural,imputed,imputed
AMD,Advanced Micro Devices,Information Technology,Semiconductors,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,quote_verified,quote_verified,quote_verified,structural,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,quote_verified,structural,not_disclosed,imputed,imputed
AME,Ametek,Industrials,Electrical Components & Equipment,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,structural,structural,imputed,imputed
AMGN,Amgen,Health Care,Biotechnology,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,quote_verified,quote_verified,quote_verified,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,structural,quote_verified,quote_verified,quote_verified,quote_verified,structural,structural,imputed,imputed
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,structural,structural,structural,imputed,imputed
AMT,American Tower,Real Estate,Telecom Tower REITs,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,quote_verified,quote_verified,quote_verified,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,structural,structural,imputed,imputed
AMZN,Amazon,Consumer Discretionary,Broadline Retail,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,structural,not_disclosed,not_disclosed,not_disclosed,quote_verified,structural,not_disclosed,imputed,imputed
ANET,Arista Networks,Information Technology,Communications Equipment,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,quote_verified,quote_verified,quote_verified,missing,quote_verified,quote_verified,not_disclosed,not_disclosed,quote_verified,quote_verified,not_disclosed,not_disclosed,not_disclosed,quote_verified,structural,not_disclosed,imputed,imputed
AON,Aon plc,Financials,Insurance Brokers,structural,structural,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,structural,not_disclosed,structural,imputed,imputed
AOS,A. O. Smith,Industrials,Building Products,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,structural,structural,structural,imputed,imputed
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,structural,structural,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,structural,quote_verified,not_disclosed,not_disclosed,structural,not_disclosed,structural,imputed,imputed
APD,Air Products,Materials,Industrial Gases,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,structural,quote_verified,not_disclosed,not_disclosed,structural,not_disclosed,structural,imputed,imputed
APH,Amphenol,Information Technology,Electronic Components,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,quote_verified,not_disclosed,not_disclosed,not_disclosed,quote_verified,structural,not_disclosed,not_disclosed,not_disclosed,quote_verified,structural,structural,imputed,imputed
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,structural,quote_verified,not_disclosed,not_disclosed,quote_verified,structural,structural,imputed,imputed
APP,AppLovin,Communication Services,Advertising,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,not_disclosed,quote_verified,quote_verified,quote_verified,structural,not_disclosed,imputed,imputed
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,structural,structural,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,structural,structural,imputed,imputed
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,structural,structural,imputed,imputed
ARES,Ares Management,Financials,Asset Management & Custody Banks,structural,structural,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,structural,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,imputed,imputed
ATO,Atmos Energy,Utilities,Gas Utilities,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,not_disclosed,structural,imputed,imputed
AVGO,Broadcom,Information Technology,Semiconductors,structural,structural,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,structural,structural,imputed,imputed
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,quote_verified,quote_verified,quote_verified,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,structural,quote_verified,quote_verified,quote_verified,quote_verified,structural,structural,imputed,imputed
AWK,American Water Works,Utilities,Water Utilities,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,quote_verified,structural,structural,imputed,imputed
AXON,Axon Enterprise,Industrials,Aerospace & Defense,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,structural,not_disclosed,not_disclosed,not_disclosed,quote_verified,not_disclosed,not_disclosed,imputed,imputed
AXP,American Express,Financials,Consumer Finance,structural,structural,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,quote_verified,quote_verified,quote_verified,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,quote_verified,structural,structural,imputed,imputed
AZO,AutoZone,Consumer Discretionary,Automotive Retail,structural,structural,structural,not_disclosed,structural,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,quote_verified,structural,not_disclosed,imputed,imputed
BA,Boeing,Industrials,Aerospace & Defense,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,structural,not_disclosed,structural,imputed,imputed
BAC,Bank of America,Financials,Diversified Banks,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,structural,quote_verified,not_disclosed,not_disclosed,quote_verified,structural,not_disclosed,imputed,imputed
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,structural,structural,imputed,imputed
BAX,Baxter International,Health Care,Health Care Equipment,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,structural,structural,imputed,imputed
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,structural,quote_verified,quote_verified,quote_verified,quote_verified,structural,structural,imputed,imputed
BDX,Becton Dickinson,Health Care,Health Care Equipment,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,structural,structural,structural,imputed,imputed
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,structural,structural,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,structural,structural,imputed,imputed
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,structural,structural,imputed,imputed
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,quote_verified,structural,structural,imputed,imputed
