ticker,company,sector,sub_industry,cik,legal_name,gics_sector,gics_sub_industry,hq_state,market_cap_usd,shares_outstanding,esg_risk_score_external,esg_controversy_level_external
AOS,A. O. Smith,Industrials,Building Products,0000091142,A. O. Smith,Industrials,Building Products,Wisconsin,7799793152.0,141914840.0,25.4,Medium
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,0001841666,APA Corporation,Energy,Oil & Gas Exploration & Production,Texas,15671223296.0,352964646.0,38.8,High
APD,Air Products,Materials,Industrial Gases,0000002969,Air Products,Materials,Industrial Gases,Pennsylvania,64897245184.0,222588256.0,12.3,Low
APH,Amphenol,Information Technology,Electronic Components,0000820313,Amphenol,Information Technology,Electronic Components,Connecticut,206943928320.0,1226600000.0,19.6,Low
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,0001858681,Apollo Global Management,Financials,Asset Management & Custody Banks,New York,76168257536.0,578981398.0,,
APP,AppLovin,Communication Services,Advertising,0001751008,AppLovin,Communication Services,Advertising,California,108830965760.0,338313000.0,,
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,0001521332,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,Switzerland,9455622144.0,212746899.0,10.7,Low
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,0001035443,Alexandria Real Estate Equities,Real Estate,Office REITs,California,8800952320.0,170537867.0,13.9,Low
ARES,Ares Management,Financials,Asset Management & Custody Banks,0001176948,Ares Management,Financials,Asset Management & Custody Banks,California,43674984448.0,313170171.0,,
ATO,Atmos Energy,Utilities,Gas Utilities,0000731802,Atmos Energy,Utilities,Gas Utilities,Texas,27577243648.0,161568384.0,34.6,High
AVGO,Broadcom,Information Technology,Semiconductors,0001730168,Broadcom,Information Technology,Semiconductors,California,1728006324224.0,4741000000.0,20.0,Low
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,0000008818,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,Ohio,12836996096.0,76877487.0,16.1,Low
AWK,American Water Works,Utilities,Water Utilities,0001410636,American Water Works,Utilities,Water Utilities,New Jersey,27362996224.0,195000000.0,21.6,Medium
AXON,Axon Enterprise,Industrials,Aerospace & Defense,0001069183,Axon Enterprise,Industrials,Aerospace & Defense,Arizona,38940344320.0,80211537.0,,
AXP,American Express,Financials,Consumer Finance,0000004962,American Express,Financials,Consumer Finance,New York,219266351104.0,686000000.0,18.6,Low
AZO,AutoZone,Consumer Discretionary,Automotive Retail,0000866787,AutoZone,Consumer Discretionary,Automotive Retail,Tennessee,,17245000.0,11.0,Low
BA,Boeing,Industrials,Aerospace & Defense,0000012927,Boeing,Industrials,Aerospace & Defense,Virginia,166333366272.0,1012261159.0,39.6,High
BAC,Bank of America,Financials,Diversified Banks,0000070858,Bank of America,Financials,Diversified Banks,North Carolina,438375383040.0,7212464345.0,28.3,Medium
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",0000009389,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",Colorado,15855731712.0,275972000.0,12.1,Low
BAX,Baxter International,Health Care,Health Care Equipment,0000010456,Baxter International,Health Care,Health Care Equipment,Illinois,12304504832.0,513000000.0,23.6,Medium
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,0000764478,Best Buy,Consumer Discretionary,Computer & Electronics Retail,Minnesota,19043274752.0,209100000.0,15.9,Low
BDX,Becton Dickinson,Health Care,Health Care Equipment,0000010795,Becton Dickinson,Health Care,Health Care Equipment,New Jersey,48443998208.0,288509000.0,23.8,Medium
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,0000038777,Franklin Resources,Financials,Asset Management & Custody Banks,California,17096787968.0,520951796.0,18.3,Low
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,0000014693,Brown–Forman,Consumer Staples,Distillers & Vintners,Kentucky,12031420416.0,466733000.0,,
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,0001996862,Bunge Global,Consumer Staples,Agricultural Products & Services,Missouri,23517302784.0,166466940.0,32.9,High
BIIB,Biogen,Health Care,Biotechnology,0000875045,Biogen,Health Care,Biotechnology,Massachusetts,32084781056.0,146800000.0,22.2,Medium
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001075531,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Connecticut,130680094720.0,32639000.0,19.2,Low
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,0001701605,Baker Hughes,Energy,Oil & Gas Equipment & Services,Texas,58627330048.0,992674071.0,,
BLDR,Builders FirstSource,Industrials,Building Products,0001316835,Builders FirstSource,Industrials,Building Products,Texas,6495598080.0,110585000.0,,
BLK,BlackRock,Financials,Asset Management & Custody Banks,0002012383,BlackRock,Financials,Asset Management & Custody Banks,New York,175417425920.0,155069171.0,18.3,Low
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,0000014272,Bristol Myers Squibb,Health Care,Pharmaceuticals,New York,129998356480.0,2039000000.0,22.7,Medium
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,0001390777,BNY Mellon,Financials,Asset Management & Custody Banks,New York,110365483008.0,688236337.0,,
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,0001383312,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,New York,19126018048.0,114000000.0,16.6,Low
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,0001067983,Berkshire Hathaway,Financials,Multi-Sector Holdings,Nebraska,1092553998336.0,1408035161.0,,
BRO,Brown & Brown,Financials,Insurance Brokers,0000079282,Brown & Brown,Financials,Insurance Brokers,Florida,22147860480.0,336000000.0,20.5,Medium
BSX,Boston Scientific,Health Care,Health Care Equipment,0000885725,Boston Scientific,Health Care,Health Care Equipment,Massachusetts,62287884288.0,1494500000.0,23.1,Medium
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,0001393818,Blackstone Inc.,Financials,Asset Management & Custody Banks,New York,153607716864.0,748688068.0,23.4,Medium
BXP,"BXP, Inc.",Real Estate,Office REITs,0001037540,"BXP, Inc.",Real Estate,Office REITs,Massachusetts,11702768640.0,158548298.0,12.5,Low
C,Citigroup,Financials,Diversified Banks,0000831001,Citigroup,Financials,Diversified Banks,New York,232861794304.0,1873100000.0,29.2,Medium
CAH,Cardinal Health,Health Care,Health Care Distributors,0000721371,Cardinal Health,Health Care,Health Care Distributors,Ohio,54555291648.0,237000000.0,14.9,Low
CARR,Carrier Global,Industrials,Building Products,0001783180,Carrier Global,Industrials,Building Products,Florida,47365718016.0,836141122.0,,
CASY,Casey's,Consumer Staples,Food Retail,0000726958,Casey's,Consumer Staples,Food Retail,Iowa,22747873280.0,36904285.0,,
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,0000018230,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,Texas,376276058112.0,465300000.0,36.2,High
CB,Chubb Limited,Financials,Property & Casualty Insurance,0000896159,Chubb Limited,Financials,Property & Casualty Insurance,Switzerland,130496806912.0,391101227.0,23.6,Medium
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,0001374310,Cboe Global Markets,Financials,Financial Exchanges & Data,Illinois,29349294080.0,104647739.0,21.0,Medium
CBRE,CBRE Group,Real Estate,Real Estate Services,0001138118,CBRE Group,Real Estate,Real Estate Services,Texas,40688222208.0,295731478.0,8.0,Negligible
CCI,Crown Castle,Real Estate,Telecom Tower REITs,0001051470,Crown Castle,Real Estate,Telecom Tower REITs,Texas,33045940224.0,435000000.0,10.1,Low
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0000815097,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Florida,31159517184.0,1402000000.0,24.5,Medium
CDNS,Cadence Design Systems,Information Technology,Application Software,0000813672,Cadence Design Systems,Information Technology,Application Software,California,79690465280.0,271799000.0,12.0,Low
CDW,CDW Corporation,Information Technology,Technology Distributors,0001402057,CDW Corporation,Information Technology,Technology Distributors,Illinois,19226429440.0,129400000.0,9.2,Negligible
CEG,Constellation Energy,Utilities,Electric Utilities,0001868275,Constellation Energy,Utilities,Electric Utilities,Maryland,100889026560.0,312000000.0,,
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,0001324404,CF Industries,Materials,Fertilizers & Agricultural Chemicals,Illinois,20138565632.0,153552162.0,29.3,Medium
CFG,Citizens Financial Group,Financials,Regional Banks,0000759944,Citizens Financial Group,Financials,Regional Banks,Rhode Island,29684541440.0,429242174.0,23.5,Medium
CHD,Church & Dwight,Consumer Staples,Household Products,0000313927,Church & Dwight,Consumer Staples,Household Products,New Jersey,22332747776.0,244300000.0,19.9,Low
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,0001043277,C.H. Robinson,Industrials,Air Freight & Logistics,Minnesota,17852534784.0,118429000.0,19.3,Low
CHTR,Charter Communications,Communication Services,Cable & Satellite,0001091667,Charter Communications,Communication Services,Cable & Satellite,Connecticut,19646515200.0,137743676.0,24.7,Medium
CI,Cigna,Health Care,Health Care Services,0001739940,Cigna,Health Care,Health Care Services,Connecticut,74188161024.0,263464000.0,11.6,Low
CIEN,Ciena,Information Technology,Communications Equipment,0000936395,Ciena,Information Technology,Communications Equipment,Maryland,49567752192.0,141016300.0,,
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,0000020286,Cincinnati Financial,Financials,Property & Casualty Insurance,Ohio,26060572672.0,157700000.0,25.6,Medium
CL,Colgate-Palmolive,Consumer Staples,Household Products,0000021665,Colgate-Palmolive,Consumer Staples,Household Products,New York,69194604544.0,801239524.0,26.2,Medium
CLX,Clorox,Consumer Staples,Household Products,0000021076,Clorox,Consumer Staples,Household Products,California,10612905984.0,122694263.0,21.6,Medium
CMCSA,Comcast,Communication Services,Cable & Satellite,0001166691,Comcast,Communication Services,Cable & Satellite,Pennsylvania,89425649664.0,3709000000.0,23.1,Medium
CME,CME Group,Financials,Financial Exchanges & Data,0001156375,CME Group,Financials,Financial Exchanges & Data,Illinois,99078471680.0,360310000.0,17.8,Low
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,0001058090,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,California,45808132096.0,1342616000.0,20.7,Medium
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,0000026172,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,Indiana,76644696064.0,138700000.0,19.3,Low
CMS,CMS Energy,Utilities,Multi-Utilities,0000811156,CMS Energy,Utilities,Multi-Utilities,Michigan,21056706560.0,306400000.0,21.7,Medium
CNC,Centene Corporation,Health Care,Managed Health Care,0001071739,Centene Corporation,Health Care,Managed Health Care,Missouri,32811147264.0,491757000.0,19.9,Low
CNP,CenterPoint Energy,Utilities,Multi-Utilities,0001130310,CenterPoint Energy,Utilities,Multi-Utilities,Texas,25762549760.0,652869575.0,28.7,Medium
COF,Capital One,Financials,Consumer Finance,0000927628,Capital One,Financials,Consumer Finance,Virginia,127788900352.0,625102271.0,22.5,Medium
COHR,Coherent Corp.,Information Technology,Electronic Components,0000820318,Coherent Corp.,Information Technology,Electronic Components,Pennsylvania,59801288704.0,195387000.0,,
COIN,Coinbase,Financials,Financial Exchanges & Data,0001679788,Coinbase,Financials,Financial Exchanges & Data,New York,46240059392.0,267836000.0,,
COO,Cooper Companies (The),Health Care,Health Care Supplies,0000711404,Cooper Companies (The),Health Care,Health Care Supplies,California,10251272192.0,195900000.0,17.5,Low
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,0001163165,ConocoPhillips,Energy,Oil & Gas Exploration & Production,Texas,165003706368.0,1253446000.0,33.9,High
COR,Cencora,Health Care,Health Care Distributors,0001140859,Cencora,Health Care,Health Care Distributors,Pennsylvania,61364293632.0,193937673.0,12.8,Low
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,0000909832,Costco,Consumer Staples,Consumer Staples Merchandise Retail,Washington,401246322688.0,443237000.0,23.3,Medium
CPAY,Corpay,Financials,Transaction & Payment Processing Services,0001175454,Corpay,Financials,Transaction & Payment Processing Services,Georgia,26803562496.0,68362289.0,,
CPRT,Copart,Industrials,Diversified Support Services,0000900075,Copart,Industrials,Diversified Support Services,Texas,27728054272.0,967478690.0,16.0,Low
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,0000906345,Camden Property Trust,Real Estate,Multi-Family Residential REITs,Texas,11921612800.0,104300000.0,16.1,Low
CRH,CRH plc,Materials,Construction Materials,0000849395,CRH plc,Materials,Construction Materials,Ireland,58910941184.0,706946142.0,,
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,0001100682,Charles River Laboratories,Health Care,Life Sciences Tools & Services,Massachusetts,13403152384.0,49217000.0,,
CRM,Salesforce,Information Technology,Application Software,0001108524,Salesforce,Information Technology,Application Software,California,203873566720.0,929000000.0,14.9,Low
CRWD,CrowdStrike,Information Technology,Systems Software,0001535527,CrowdStrike,Information Technology,Systems Software,Texas,211688292352.0,250576000.0,,
CSCO,Cisco,Information Technology,Communications Equipment,0000858877,Cisco,Information Technology,Communications Equipment,California,442082263040.0,3946000000.0,13.9,Low
CSGP,CoStar Group,Real Estate,Real Estate Services,0001057352,CoStar Group,Real Estate,Real Estate Services,D.C.,12342318080.0,417900000.0,21.9,Medium
CSX,CSX Corporation,Industrials,Rail Transportation,0000277948,CSX Corporation,Industrials,Rail Transportation,Florida,90678648832.0,1860000000.0,21.9,Medium
CTAS,Cintas,Industrials,Diversified Support Services,0000723254,Cintas,Industrials,Diversified Support Services,Ohio,80634167296.0,400147000.0,18.1,Low
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,0001058290,Cognizant,Information Technology,IT Consulting & Other Services,New Jersey,27026653184.0,479000000.0,14.7,Low
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,0001755672,Corteva,Materials,Fertilizers & Agricultural Chemicals,Indiana,55977746432.0,672163000.0,,
CVNA,Carvana,Consumer Discretionary,Automotive Retail,0001690820,Carvana,Consumer Discretionary,Automotive Retail,Arizona,76661358592.0,224277000.0,,
CVS,CVS Health,Health Care,Health Care Services,0000064803,CVS Health,Health Care,Health Care Services,Rhode Island,121067339776.0,1271000000.0,22.0,Medium
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,0000093410,Chevron Corporation,Energy,Integrated Oil & Gas,Texas,419900817408.0,1856000000.0,36.6,High
D,Dominion Energy,Utilities,Multi-Utilities,0000715957,Dominion Energy,Utilities,Multi-Utilities,Virginia,56606289920.0,879000000.0,26.4,Medium
DAL,Delta Air Lines,Industrials,Passenger Airlines,0000027904,Delta Air Lines,Industrials,Passenger Airlines,Georgia,52550660096.0,654000000.0,30.3,High
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,0001792789,DoorDash,Consumer Discretionary,Specialized Consumer Services,California,87504519168.0,439686000.0,,
DD,DuPont,Industrials,Industrial Conglomerates,0001666700,DuPont,Industrials,Industrial Conglomerates,Delaware,17149107200.0,419200000.0,28.6,Medium
DDOG,Datadog,Information Technology,Application Software,0001561550,Datadog,Information Technology,Application Software,New York,79430983680.0,363472000.0,,
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,0000315189,Deere & Company,Industrials,Agricultural & Farm Machinery,Illinois,182196666368.0,270400000.0,20.0,Low
DECK,Deckers Brands,Consumer Discretionary,Footwear,0000910521,Deckers Brands,Consumer Discretionary,Footwear,California,11067498496.0,139978000.0,,
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",0001571996,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",Texas,360690188288.0,652000000.0,,
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,0000029534,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,Tennessee,27484438528.0,220222000.0,17.6,Low
DGX,Quest Diagnostics,Health Care,Health Care Services,0001022079,Quest Diagnostics,Health Care,Health Care Services,New Jersey,25939947520.0,113000000.0,21.2,Medium
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,0000882184,D. R. Horton,Consumer Discretionary,Homebuilding,Texas,38568009728.0,294475153.0,21.0,Medium
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,0000313616,Danaher Corporation,Health Care,Life Sciences Tools & Services,D.C.,140695633920.0,706900000.0,11.9,Low
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,0001744489,Walt Disney Company (The),Communication Services,Movies & Entertainment,California,183978491904.0,1900000000.0,15.7,Low
DLR,Digital Realty,Real Estate,Data Center REITs,0001297996,Digital Realty,Real Estate,Data Center REITs,Texas,71219822592.0,343557000.0,12.6,Low
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,0000935703,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,Virginia,22172272640.0,198505205.0,20.1,Medium
DOC,Healthpeak Properties,Real Estate,Health Care REITs,0000765880,Healthpeak Properties,Real Estate,Health Care REITs,Colorado,14391628800.0,695036731.0,,
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,0000029905,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,Illinois,25461297152.0,137777000.0,25.9,Medium
DOW,Dow Inc.,Materials,Commodity Chemicals,0001751788,Dow Inc.,Materials,Commodity Chemicals,Michigan,20969551872.0,711600000.0,,
DPZ,Domino's,Consumer Discretionary,Restaurants,0001286681,Domino's,Consumer Discretionary,Restaurants,Michigan,10308269056.0,33627992.0,29.2,Medium
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,0000940944,Darden Restaurants,Consumer Discretionary,Restaurants,Florida,23831279616.0,114100000.0,27.5,Medium
DTE,DTE Energy,Utilities,Multi-Utilities,0000936340,DTE Energy,Utilities,Multi-Utilities,Michigan,27588315136.0,207745154.0,29.8,Medium
DUK,Duke Energy,Utilities,Electric Utilities,0001326160,Duke Energy,Utilities,Electric Utilities,North Carolina,93112033280.0,778000000.0,27.0,Medium
DVA,DaVita,Health Care,Health Care Services,0000927066,DaVita,Health Care,Health Care Services,Colorado,11582889984.0,68549000.0,22.6,Medium
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,0001090012,Devon Energy,Energy,Oil & Gas Exploration & Production,Oklahoma,55253000192.0,633000000.0,33.8,High
DXCM,Dexcom,Health Care,Health Care Equipment,0001093557,Dexcom,Health Care,Health Care Equipment,California,31332263936.0,384800000.0,24.0,Medium
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,0001065088,eBay Inc.,Consumer Discretionary,Broadline Retail,California,47948750848.0,449000000.0,17.6,Low
ECHO,EchoStar,Communication Services,Wireless Telecommunication Services,0001415404,EchoStar,Communication Services,Wireless Telecommunication Services,Colorado,27056306176.0,287589000.0,,
ECL,Ecolab,Materials,Specialty Chemicals,0000031462,Ecolab,Materials,Specialty Chemicals,Minnesota,77421150208.0,282000000.0,19.9,Low
ED,Consolidated Edison,Utilities,Multi-Utilities,0001047862,Consolidated Edison,Utilities,Multi-Utilities,New York,39371956224.0,361121447.0,23.8,Medium
EFX,Equifax,Industrials,Research & Consulting Services,0000033185,Equifax,Industrials,Research & Consulting Services,Georgia,19854948352.0,120400000.0,23.2,Medium
EG,Everest Group,Financials,Reinsurance,0001095073,Everest Group,Financials,Reinsurance,Bermuda,14252378112.0,74400000.0,18.0,Low
EIX,Edison International,Utilities,Electric Utilities,0000827052,Edison International,Utilities,Electric Utilities,California,21549582336.0,384787056.0,27.5,Medium
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,0001001250,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,New York,35137875968.0,364800000.0,25.5,Medium
ELV,Elevance Health,Health Care,Managed Health Care,0001156039,Elevance Health,Health Care,Managed Health Care,Indiana,90807508992.0,220723898.0,11.4,Low
EME,Emcor,Industrials,Construction & Engineering,0000105634,Emcor,Industrials,Construction & Engineering,Connecticut,34434834432.0,44520367.0,,
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,0000032604,Emerson Electric,Industrials,Electrical Components & Equipment,Missouri,84891582464.0,562800000.0,28.4,Medium
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,0000821189,EOG Resources,Energy,Oil & Gas Exploration & Production,Texas,77294624768.0,546000000.0,34.2,High
EQIX,Equinix,Real Estate,Data Center REITs,0001101239,Equinix,Real Estate,Data Center REITs,California,102393577472.0,98226000.0,13.9,Low
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,0000033213,EQT Corporation,Energy,Oil & Gas Exploration & Production,Pennsylvania,33821650944.0,615717000.0,35.7,High
ERIE,Erie Indemnity,Financials,Insurance Brokers,0000922621,Erie Indemnity,Financials,Insurance Brokers,Pennsylvania,12812585984.0,46189068.0,,
ES,Eversource Energy,Utilities,Electric Utilities,0000072741,Eversource Energy,Utilities,Electric Utilities,Connecticut,25809752064.0,375416880.0,18.6,Low
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,0000920522,Essex Property Trust,Real Estate,Multi-Family Residential REITs,California,18812475392.0,64442290.0,12.4,Low
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,0001551182,Eaton Corporation,Industrials,Electrical Components & Equipment,Ireland,165213700096.0,387900000.0,17.9,Low
ETR,Entergy,Utilities,Electric Utilities,0000065984,Entergy,Utilities,Electric Utilities,Louisiana,50324303872.0,450151884.0,26.7,Medium
EVRG,Evergy,Utilities,Electric Utilities,0001711269,Evergy,Utilities,Electric Utilities,Missouri,18818893824.0,233600000.0,,
EW,Edwards Lifesciences,Health Care,Health Care Equipment,0001099800,Edwards Lifesciences,Health Care,Health Care Equipment,California,48630870016.0,580700000.0,18.6,Low
EXC,Exelon,Utilities,Electric Utilities,0001109357,Exelon,Utilities,Electric Utilities,Illinois,44465762304.0,1023000000.0,22.9,Medium
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,0000895126,Expand Energy,Energy,Oil & Gas Exploration & Production,Oklahoma,21953505280.0,240370000.0,,
EXPD,Expeditors International,Industrials,Air Freight & Logistics,0000746515,Expeditors International,Industrials,Air Freight & Logistics,Washington,25036195840.0,133884000.0,16.6,Low
