ticker,company,sector,sub_industry,cogs_usd,energy_cost_usd
FLEX,Flex Ltd.,Information Technology,Electronic Manufacturing Services,25288000000.0,
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,,
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,,42703000.0
FSLR,First Solar,Information Technology,Semiconductors,3099037000.0,
FTNT,Fortinet,Information Technology,Systems Software,1328900000.0,
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,1518000000.0,
GD,General Dynamics,Industrials,Aerospace & Defense,,
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,,
GE,GE Aerospace,Industrials,Aerospace & Defense,,
GEHC,GE HealthCare,Health Care,Health Care Equipment,,
GEN,Gen Digital,Information Technology,Systems Software,1077000000.0,
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,30533000000.0,
GILD,Gilead Sciences,Health Care,Biotechnology,6234000000.0,
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,12228900000.0,
GL,Globe Life,Financials,Life & Health Insurance,,
GLW,Corning Inc.,Information Technology,Electronic Components,10008000000.0,
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,,
GNRC,Generac,Industrials,Heavy Electrical Equipment,2597410000.0,
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,162535000000.0,
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,15359443000.0,
GPN,Global Payments,Financials,Transaction & Payment Processing Services,2113381000.0,
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,2989216000.0,
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,,
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,10933000000.0,
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,,
HAS,Hasbro,Consumer Discretionary,Leisure Products,1296200000.0,
HBAN,Huntington Bancshares,Financials,Regional Banks,,
HCA,HCA Healthcare,Health Care,Health Care Facilities,,
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,109818000000.0,
HIG,Hartford (The),Financials,Property & Casualty Insurance,,
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,,
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,
HON,Honeywell Technologies,Industrials,Industrial Conglomerates,23613000000.0,
HONA,Honeywell Aerospace,Industrials,Aerospace & Defense,,
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,,
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",,
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",43903000000.0,
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,10214344000.0,
HSIC,Henry Schein,Health Care,Health Care Distributors,9079000000.0,
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,,
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,7769885000.0,
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,3780500000.0,
HUM,Humana,Health Care,Managed Health Care,,
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,,
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,,
IBM,IBM,Information Technology,IT Consulting & Other Services,28239000000.0,
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,,
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,1644123000.0,
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,1918700000.0,
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,6952000000.0,
INCY,Incyte,Health Care,Biotechnology,372130000.0,
INTC,Intel,Information Technology,Semiconductors,34478000000.0,
INTU,Intuit,Information Technology,Application Software,,
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,,
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,16637000000.0,
IQV,IQVIA,Health Care,Life Sciences Tools & Services,,
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,4314600000.0,
IRM,Iron Mountain,Real Estate,Other Specialized REITs,,
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,3422400000.0,
IT,Gartner,Information Technology,IT Consulting & Other Services,2053575000.0,
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,8969000000.0,
IVZ,Invesco,Financials,Asset Management & Custody Banks,,
J,Jacobs Solutions,Industrials,Construction & Engineering,9044849000.0,
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,,633324000.0
JBL,Jabil,Information Technology,Electronic Manufacturing Services,27156000000.0,
JCI,Johnson Controls,Industrials,Building Products,15004000000.0,
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,1360747000.0,
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,30256000000.0,
JPM,JPMorgan Chase,Financials,Diversified Banks,,
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,7604000000.0,
KEY,KeyCorp,Financials,Regional Banks,,
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2038000000.0,
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,16633000000.0,
KIM,Kimco Realty,Real Estate,Retail REITs,,
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,,
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,4751867000.0,
KMB,Kimberly-Clark,Consumer Staples,Household Products,10524000000.0,
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,,
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,18397000000.0,
KR,Kroger,Consumer Staples,Food Retail,,
KVUE,Kenvue,Consumer Staples,Personal Care Products,6332000000.0,
L,Loews Corporation,Financials,Multi-line Insurance,,
LDOS,Leidos,Industrials,Diversified Support Services,14075000000.0,
LEN,Lennar,Consumer Discretionary,Homebuilding,,
LH,Labcorp,Health Care,Health Care Services,9939200000.0,
LHX,L3Harris,Industrials,Aerospace & Defense,,
LII,Lennox International,Industrials,Building Products,3460500000.0,
LIN,Linde plc,Materials,Industrial Gases,,
LITE,Lumentum,Information Technology,Communications Equipment,,
LLY,Lilly (Eli),Health Care,Pharmaceuticals,11052000000.0,
LMT,Lockheed Martin,Industrials,Aerospace & Defense,67429000000.0,
LNT,Alliant Energy,Utilities,Electric Utilities,625000000.0,
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,57401000000.0,
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,9456532000.0,
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",4818468000.0,
LUV,Southwest Airlines,Industrials,Passenger Airlines,,5240000000.0
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,,
LYB,LyondellBasell,Materials,Specialty Chemicals,27576000000.0,
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,,
MA,Mastercard,Financials,Transaction & Payment Processing Services,,
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,,
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,
MAS,Masco,Industrials,Building Products,4883000000.0,
MCD,McDonald's,Consumer Discretionary,Restaurants,,
MCHP,Microchip Technology,Information Technology,Semiconductors,1992000000.0,
MCK,McKesson Corporation,Health Care,Health Care Distributors,388880000000.0,
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,1973000000.0,
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,27602000000.0,
MDT,Medtronic,Health Care,Health Care Equipment,12721000000.0,
MET,MetLife,Financials,Life & Health Insurance,,
META,Meta Platforms,Communication Services,Interactive Media & Services,36175000000.0,
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,,
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,4248100000.0,
MLM,Martin Marietta Materials,Materials,Construction Materials,4261000000.0,
MMM,3M,Industrials,Industrial Conglomerates,14991000000.0,
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,3662148000.0,
MO,Altria,Consumer Staples,Tobacco,5597000000.0,
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,10150500000.0,
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,119446000000.0,
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,1250718000.0,
MRK,Merck & Co.,Health Care,Pharmaceuticals,16382000000.0,
MRNA,Moderna,Health Care,Biotechnology,868000000.0,
MRSH,Marsh McLennan,Financials,Insurance Brokers,,
MRVL,Marvell Technology,Information Technology,Semiconductors,4013900000.0,
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,,
MSCI,MSCI,Financials,Financial Exchanges & Data,,
MSFT,Microsoft,Information Technology,Systems Software,87831000000.0,
MSI,Motorola Solutions,Information Technology,Communications Equipment,5647000000.0,
MTB,M&T Bank,Financials,Regional Banks,,
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,,
MU,Micron Technology,Information Technology,Semiconductors,22505000000.0,
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",5639163000.0,675887000.0
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,3013000000.0,
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,1251903000.0,
NEE,NextEra Energy,Utilities,Multi-Utilities,,
NEM,Newmont,Materials,Gold,,
NFLX,Netflix,Communication Services,Movies & Entertainment,23275329000.0,
NI,NiSource,Utilities,Multi-Utilities,,
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",26487000000.0,
NOC,Northrop Grumman,Industrials,Aerospace & Defense,,
NOW,ServiceNow,Information Technology,Systems Software,2983000000.0,
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,,
NSC,Norfolk Southern,Industrials,Rail Transportation,,932000000.0
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2026000000.0,
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,,
NUE,Nucor,Materials,Steel,28616000000.0,
NVDA,Nvidia,Information Technology,Semiconductors,62475000000.0,
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,,
NWS,News Corp (Class B),Communication Services,Publishing,,
NXPI,NXP Semiconductors,Information Technology,Semiconductors,5553000000.0,
O,Realty Income,Real Estate,Retail REITs,,
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,,
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,23373000000.0,
OMC,Omnicom Group,Communication Services,Advertising,15804800000.0,
ON,ON Semiconductor,Information Technology,Semiconductors,4011500000.0,
ORCL,Oracle Corporation,Information Technology,Application Software,,
ORLY,O'Reilly Automotive,Consumer Discretionary,Automotive Retail,8607851000.0,
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,,
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,,
PANW,Palo Alto Networks,Information Technology,Systems Software,2451000000.0,
PAYX,Paychex,Industrials,Human Resource & Employment Services,1674500000.0,
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,22736700000.0,
PCG,PG&E Corporation,Utilities,Multi-Utilities,,
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,,
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,43066000000.0,
PFE,Pfizer,Health Care,Pharmaceuticals,16067000000.0,
PFG,Principal Financial Group,Financials,Life & Health Insurance,,
PG,Procter & Gamble,Consumer Staples,Personal Care Products,41164000000.0,
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,,
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,12535000000.0,
PHM,PulteGroup,Consumer Discretionary,Homebuilding,,
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,7099700000.0,
PLD,Prologis,Real Estate,Industrial REITs,,
PLTR,Palantir Technologies,Information Technology,Application Software,789177000.0,
PM,Philip Morris International,Consumer Staples,Tobacco,13366000000.0,
PNC,PNC Financial Services,Financials,Diversified Banks,,
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2485700000.0,
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,,
PODD,Insulet Corporation,Health Care,Health Care Equipment,768200000.0,
PPG,PPG Industries,Materials,Specialty Chemicals,9316000000.0,
PPL,PPL Corporation,Utilities,Electric Utilities,,6913000000.0
PRU,Prudential Financial,Financials,Life & Health Insurance,,
PSA,Public Storage,Real Estate,Self-Storage REITs,,
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,,
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,116093000000.0,
PTC,PTC Inc.,Information Technology,Application Software,444983000.0,
PWR,Quanta Services,Industrials,Construction & Engineering,24204616000.0,
PYPL,PayPal,Financials,Transaction & Payment Processing Services,,
Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,2559000000.0,
QCOM,Qualcomm,Information Technology,Semiconductors,19738000000.0,
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",9083000000.0,
RDDT,Reddit,Communication Services,Interactive Media & Services,194216000.0,
REG,Regency Centers,Real Estate,Retail REITs,,
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,,
RF,Regions Financial Corporation,Financials,Regional Banks,,
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,,
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2445300000.0,
RMD,ResMed|,Health Care,Health Care Equipment,2091357000.0,
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,4326000000.0,
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,,
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2430500000.0,
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,16447256000.0,
RSG,Republic Services,Industrials,Environmental & Facilities Services,9630000000.0,
RTX,RTX Corporation,Industrials,Aerospace & Defense,,
RVTY,Revvity,Health Care,Health Care Equipment,,
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,198972000.0,
SBUX,Starbucks,Consumer Discretionary,Restaurants,,
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,,
SHW,Sherwin-Williams,Materials,Specialty Chemicals,12058800000.0,
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,6016400000.0,
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,,
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",19542120000.0,
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,,
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",5143000000.0,
SNPS,Synopsys,Information Technology,Application Software,1623549000.0,
SO,Southern Company,Utilities,Electric Utilities,,
SOLV,Solventum,Health Care,Health Care Technology,,
SPG,Simon Property Group,Real Estate,Retail REITs,,
SPGI,S&P Global,Financials,Financial Exchanges & Data,4563000000.0,
SRE,Sempra,Utilities,Multi-Utilities,,
STE,Steris,Health Care,Health Care Equipment,3309400000.0,
STLD,Steel Dynamics,Materials,Steel,15784398000.0,
STT,State Street Corporation,Financials,Asset Management & Custody Banks,,
