ticker,company,sector,sub_industry,scope1_tco2e,ghg_facility_count,cogs_usd,energy_cost_usd
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,,,1511063000.0,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,229671.722,3.0,8431294000.0,
ALGN,Align Technology,Health Care,Health Care Supplies,,,1155397000.0,
ALL,Allstate,Financials,Property & Casualty Insurance,,,,
ALLE,Allegion,Industrials,Building Products,,,2069300000.0,
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,,,14133000000.0,
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,,,11969000000.0,
AMD,Advanced Micro Devices,Information Technology,Semiconductors,,,12220000000.0,
AME,Ametek,Industrials,Electrical Components & Equipment,,,4212485000.0,
AMGN,Amgen,Health Care,Biotechnology,61780.352,1.0,8451000000.0,
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,,,,
AMT,American Tower,Real Estate,Telecom Tower REITs,,,,
AMZN,Amazon,Consumer Discretionary,Broadline Retail,,,304739000000.0,
ANET,Arista Networks,Information Technology,Communications Equipment,,,2229900000.0,
AON,Aon plc,Financials,Insurance Brokers,,,,
AOS,A. O. Smith,Industrials,Building Products,,,2368000000.0,
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,287402.2745928,13.0,,
APD,Air Products,Materials,Industrial Gases,,,8833000000.0,
APH,Amphenol,Information Technology,Electronic Components,,,8470600000.0,
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,,,,
APP,AppLovin,Communication Services,Advertising,,,356613000.0,
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,,,16612000000.0,
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,,,,
ARES,Ares Management,Financials,Asset Management & Custody Banks,1454174.0512,1.0,,
ATO,Atmos Energy,Utilities,Gas Utilities,130555.092,3.0,1452173000.0,
AVGO,Broadcom,Information Technology,Semiconductors,34457.051985,1.0,11129000000.0,
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,,,6086800000.0,
AWK,American Water Works,Utilities,Water Utilities,,,,
AXON,Axon Enterprise,Industrials,Aerospace & Defense,,,605246000.0,
AXP,American Express,Financials,Consumer Finance,,,,
AZO,AutoZone,Consumer Discretionary,Automotive Retail,,,8386787000.0,
BA,Boeing,Industrials,Aerospace & Defense,151144.822,4.0,70070000000.0,
BAC,Bank of America,Financials,Diversified Banks,,,,
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",,,,
BAX,Baxter International,Health Care,Health Care Equipment,43203.836,1.0,6210000000.0,
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,,,33849000000.0,
BDX,Becton Dickinson,Health Care,Health Care Equipment,,,11202000000.0,
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,,,,
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,90072.76000000001,2.0,1652000000.0,
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,,,54695000000.0,
BIIB,Biogen,Health Care,Biotechnology,28268.191999999995,1.0,2533400000.0,
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,,
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,,,,
BLDR,Builders FirstSource,Industrials,Building Products,,,11084996000.0,
BLK,BlackRock,Financials,Asset Management & Custody Banks,187749.89940000002,1.0,,
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,95102.73999999999,2.0,10693000000.0,
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,,,,
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,,,4275500000.0,
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,52734933.4973898,117.0,,
BRO,Brown & Brown,Financials,Insurance Brokers,,,,
BSX,Boston Scientific,Health Care,Health Care Equipment,,,4345000000.0,
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,,,,
BXP,"BXP, Inc.",Real Estate,Office REITs,,,,
C,Citigroup,Financials,Diversified Banks,,,,
CAH,Cardinal Health,Health Care,Health Care Distributors,,,198105000000.0,
CARR,Carrier Global,Industrials,Building Products,,,13789000000.0,
CASY,Casey's,Consumer Staples,Food Retail,,,,
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,456901.738,7.0,160000000.0,
CB,Chubb Limited,Financials,Property & Casualty Insurance,,,,
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,,,1855500000.0,
CBRE,CBRE Group,Real Estate,Real Estate Services,,,25675000000.0,
CCI,Crown Castle,Real Estate,Telecom Tower REITs,,,304000000.0,
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,14317000000.0,
CDNS,Cadence Design Systems,Information Technology,Application Software,,,,
CDW,CDW Corporation,Information Technology,Technology Distributors,,,16723600000.0,
CEG,Constellation Energy,Utilities,Electric Utilities,8941320.546,10.0,,
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,20579424.174,6.0,4086000000.0,
CFG,Citizens Financial Group,Financials,Regional Banks,,,,
CHD,Church & Dwight,Consumer Staples,Household Products,,,3279400000.0,
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,,,,
CHTR,Charter Communications,Communication Services,Cable & Satellite,,,,
CI,Cigna,Health Care,Health Care Services,,,133801000000.0,
CIEN,Ciena,Information Technology,Communications Equipment,,,2507698000.0,
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,,,,
CL,Colgate-Palmolive,Consumer Staples,Household Products,,,8131000000.0,
CLX,Clorox,Consumer Staples,Household Products,,,4481000000.0,
CMCSA,Comcast,Communication Services,Cable & Satellite,,,,
CME,CME Group,Financials,Financial Exchanges & Data,,,,
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,,,,
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,,,25816000000.0,
CMS,CMS Energy,Utilities,Multi-Utilities,16768404.887256399,11.0,,561000000.0
CNC,Centene Corporation,Health Care,Managed Health Care,,,3564000000.0,
CNP,CenterPoint Energy,Utilities,Multi-Utilities,3741577.852,2.0,99000000.0,
COF,Capital One,Financials,Consumer Finance,,,,
COHR,Coherent Corp.,Information Technology,Electronic Components,,,3541817000.0,
COIN,Coinbase,Financials,Financial Exchanges & Data,,,,
COO,Cooper Companies (The),Health Care,Health Care Supplies,,,1235300000.0,
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1133099.8583479999,7.0,21975000000.0,
COR,Cencora,Health Care,Health Care Distributors,,,253213918000.0,
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,,,212586000000.0,
CPAY,Corpay,Financials,Transaction & Payment Processing Services,,,,
CPRT,Copart,Industrials,Diversified Support Services,,,,
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,,,548920000.0,
CRH,CRH plc,Materials,Construction Materials,,,22986000000.0,
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,,,,
CRM,Salesforce,Information Technology,Application Software,,,8541000000.0,
CRWD,CrowdStrike,Information Technology,Systems Software,,,758929000.0,
CSCO,Cisco,Information Technology,Communications Equipment,,,21245000000.0,
CSGP,CoStar Group,Real Estate,Real Estate Services,,,491000000.0,
CSX,CSX Corporation,Industrials,Rail Transportation,,,,1377000000.0
CTAS,Cintas,Industrials,Diversified Support Services,,,4910199000.0,
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,,,,
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,82753.73999999999,2.0,9920000000.0,
CVNA,Carvana,Consumer Discretionary,Automotive Retail,,,9047000000.0,
CVS,CVS Health,Health Care,Health Care Services,,,217098000000.0,
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,16522888.64808879,31.0,119196000000.0,
D,Dominion Energy,Utilities,Multi-Utilities,28318232.555,27.0,,
DAL,Delta Air Lines,Industrials,Passenger Airlines,1256096.862,2.0,,11069000000.0
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,,,,
DD,DuPont,Industrials,Industrial Conglomerates,,,4442000000.0,
DDOG,Datadog,Information Technology,Application Software,,,409908000.0,
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,45075.88,1.0,,
DECK,Deckers Brands,Consumer Discretionary,Footwear,,,1902275000.0,
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",,,67356000000.0,
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,,,26972585000.0,
DGX,Quest Diagnostics,Health Care,Health Care Services,,,6199000000.0,
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,,,26110000000.0,
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,,,9856000000.0,
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,108269.89073999999,1.0,,
DLR,Digital Realty,Real Estate,Data Center REITs,,,,
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,,,10761400000.0,
DOC,Healthpeak Properties,Real Estate,Health Care REITs,,,902060000.0,
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,,,4816932000.0,
DOW,Dow Inc.,Materials,Commodity Chemicals,16644866.1521,16.0,39742000000.0,
DPZ,Domino's,Consumer Discretionary,Restaurants,,,2751941000.0,
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,,,,
DTE,DTE Energy,Utilities,Multi-Utilities,23095572.205256,23.0,,
DUK,Duke Energy,Utilities,Electric Utilities,72317600.8256672,40.0,,
DVA,DaVita,Health Care,Health Care Services,,,,
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,36538.4417428,6.0,,
DXCM,Dexcom,Health Care,Health Care Equipment,,,1333400000.0,
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,,,2833000000.0,
ECHO,EchoStar,Communication Services,Wireless Telecommunication Services,,,,
ECL,Ecolab,Materials,Specialty Chemicals,,,9154900000.0,
ED,Consolidated Edison,Utilities,Multi-Utilities,2463230.61,5.0,,
EFX,Equifax,Industrials,Research & Consulting Services,,,,
EG,Everest Group,Financials,Reinsurance,,,,
EIX,Edison International,Utilities,Electric Utilities,1056295.236,1.0,,
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,,,4564000000.0,
ELV,Elevance Health,Health Care,Managed Health Care,,,17293000000.0,
EME,Emcor,Industrials,Construction & Engineering,,,10493534000.0,
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,,,7738000000.0,
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,318787.588,7.0,,
EQIX,Equinix,Real Estate,Data Center REITs,,,4228000000.0,
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,,,2157260000.0,
ERIE,Erie Indemnity,Financials,Insurance Brokers,,,,
ES,Eversource Energy,Utilities,Electric Utilities,,,,
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,,,,
